lizard	eggnog
NOTUM	NOTUM
ASPSCR1	ASPSCR1
LRRC45	LRRC45
DCXR	DCXR
RFNG	RFNG
GPS1	GPS1
DUS1L	DUS1L
FASN	FASN
CCDC57	CCDC57
SLC16A3	SLC16A3
CSNK1D	CSNK1D
UTP18	UTP18
MBTD1	MBTD1
NME2	NME1
SPAG9	SPAG9
TOB1	TOB1
ANKRD40	ANKRD40
LUC7L3	LUC7L3
ABCC3	ABCC3
CACNA1G	CACNA1G
SPATA20	SPATA20
EPN3	EPN3
MYCBPAP	MYCBPAP
RSAD1	RSAD1
ACSF2	ACSF2
CHAD	CHAD
RAB40C	RAB40C
PIGQ	PIGQ
C16ORF11	C16ORF11
SOLH	SOLH
RAB11FIP3	RAB11FIP3
DECR2	DECR2
NME4	NME4
TRIM41	TRIM41
GBLP_CHICK	GNB2L1
HIST1H1T	HIST1H1A
PCDH20	PCDH20
LPCAT2	LPCAT2
CAPNS1	CAPNS1
SLC6A2	SLC6A2
SDR42E1	SDR42E1
HSD17B2	HSD17B2
MPHOSPH6	MPHOSPH6
MGP	MGP
ERP27	ERP27
ARHGDIB	ARHGDIB
PDE6H	PDE6H
AGBL3	AGBL3
TMEM140	TMEM140
C7ORF49	C7ORF49
WDR91	WDR91
PGBD5	PGBD5
COG2	COG2
AGT	AGT
CAPN9	CAPN9
C1ORF198	C1ORF198
TTC13	TTC13
ARV1	ARV1
FAM89A	FAM89A
TRIM67	TRIM67
C1ORF131	C1ORF131
GNPAT	GNPAT
C6ORF120	C6ORF120
PHF10	PHF10
TCTE3	TCTE3
C6ORF70	C6ORF70
DLL1	DLL1
FAM120B	FAM120B
PSMB1	PSMB1
TBP	TBP
PDCD2	PDCD2
WDR27	WDR27
THBS2	THBS2
SMOC2	SMOC2
ALG1	ALG1
C16ORF89	C16ORF89
HAGH	HAGH
FAHD1	FAHD1
C16ORF73	MEIOB
HS3ST6	HS3ST6
LMF1	LMF1
SOX8	SOX8
SSTR5	SSTR5
SLC35G1	SLC35G1
LGI1	LGI1
FRA10AC1	FRA10AC1
PDE6C	PDE6C
RBP4	RBP4
O3FAR1	O3FAR1
CEP55	CEP55
MYOF	MYOF
CYP26A1	CYP26A1
CYP26C1	CYP26C1
EXOC6	EXOC6
HHEX	HHEX
KIF11	KIF11
IDE	IDE
MARH5_CHICK	MARCH5
CPEB3	CPEB3
BTAF1	BTAF1
DUSP11	DUSP11
CCNJ	CCNJ
SNAPC3	SNAPC3
TTC39B	TTC39B
FREM1	FREM1
CER1	CER1
ZDHHC21	ZDHHC21
NFIB	NFIB
MPDZ	MPDZ
LURAP1L	LURAP1L
TYRP1	TYRP1
NAT9	NAT9
IFITM5	IFITM5
ATHL1	ATHL1
SIRT3	SIRT3
RIC8A	RIC8A
BET1L	BET1L
BEST1	BEST1
RAB3IL1	RAB3IL1
FADS2	FADS2
FADS1	FADS1
FEN1	FEN1
NEF1_CHICK	C11ORF10
C11ORF9	C11ORF9
DAGLA	DAGLA
ISY1-RAB43	ISY1
RAB43	RAB43
GP9	GP9
CCDC48	CCDC48
KIAA1257	KIAA1257
ACAD9	ACAD9
IQSEC1	IQSEC1
NUP210	NUP210
FBLN2	FBLN2
WNT7A	WNT7A
FBXW12	FBXW12
PTPDC1	PTPDC1
BARX1	BARX1
CCDC11	CCDC11
SKA1	SKA1
MAPK4	MAPK4
ME2	ME2
ELAC1	ELAC1
SMAD4	SMAD4
MEX3C	MEX3C
OR4M1	OR4M1
LPCAT4	LPCAT4
C15ORF55	C15ORF55
SLC12A6	SLC12A6
TMEM85	EMC4
SDR39U1	SDR39U1
KHNYN	NYNRIN
CNBP_CHICK	CNBP
RAF1	RAF1
MKRN2	MKRN2
MKRN2-AS1	MKRN2-AS1
TSEN2	TSEN2
PPARG	PPARG
SYN2	SYN2
TIMP4	TIMP4
TAMM41	TAMM41
VGLL4	VGLL4
ATG7	ATG7
HRH1	HRH1
POLA1	POLA1
SGSM1	SGSM1
KIAA1671	KIAA1671
CRYBB3	CRYBB3
CRYBB2	CRYBB2
ADRBK2	ADRBK2
MYO18B	MYO18B
SEZ6L	SEZ6L
HPS4	HPS4
SRRD	SRRD
TFP11_CHICK	TFIP11
TPST2	TPST2
CRBB1_CHICK	CRYBB1
CRYBA4	CRYBA4
PITPNB	PITPNB
TTC28	TTC28
CHEK2	CHEK2
HSCB	HSCB
CCDC117	CCDC117
XBP1	XBP1
ZNRF3	ZNRF3
ANKRD13A	ANKRD13A
GIT2	GIT2
TCHP	TCHP
GLTP	GLTP
TRPV4	TRPV4
C12ORF34	FAM222A
MVK	MVK
MMAB	MMAB
UBE3B	UBE3B
KCTD10	KCTD10
MYO1H	MYO1H
FOXN4	FOXN4
ACACB	ACACB
F1NJG2_CHICK	UNG
ALKBH2	ALKBH2
USP30	USP30
SVOP	SVOP
DAO	DAO
SSH1	SSH1
TMEM119	TMEM119
ISCU	ISCU
SART3	SART3
FICD	FICD
WSCD2	WSCD2
PTPN11	PTPN11
Q8UWG7_CHICK	RPL6
C12ORF51	HECTD4
TRAFD1	TRAFD1
ZC3HC1	ZC3HC1
KLHDC10	KLHDC10
TMEM209	TMEM209
C4ORF17	C4ORF17
RG9MTD2	TRMT10A
MTTP	MTTP
CRHR2	CRHR2
GARS	GARS
CTDSPL	CTDSPL
VILL	VILL
PLCD1	PLCD1
DLEC1	DLEC1
ACAA1	ACAA1
MYD88	MYD88
OXSR1	OXSR1
CSRNP1	CSRNP1
TTC21A	TTC21A
PLXNB2	PLXNB2
ZNF800	ZNF800
GRM8	GRM8
POT1	POT1
C14ORF49	SYNE3
CRLF2	CRLF2
ASMTL	ASMTL
P2RY8	P2RY8
TRBC2	TRBC2
EPHB6	EPHB6
KEL	KEL
OR6V1.1	OR6V1
RFC2_CHICK	RFC2
EIF4H	EIF4H
MYBBP1A	MYBBP1A
SPNS2	SPNS2
SPNS3	SPNS3
UBE2G1	UBE2G1
ANKFY1	ANKFY1
CYB5D2	CYB5D2
POLR2J3	UPK3B
ZZEF1	ZZEF1
F1NNV0_CHICK	ATP2A3
WDR46	WDR46
A4F5B6_CHICK	TAPBP
ZBTB22	ZBTB22
DAXX	DAXX
KIFC1	KIFC1
PHF1	PHF1
SYNGAP1	SYNGAP1
ZBTB9	ZBTB9
RCC1	RCC1
PHACTR4	PHACTR4
MED18	MED18
SESN2	SESN2
FAM76A	FAM76A
PLCL2	PLCL2
DAZL	DAZL
RFTN1	RFTN1
OXNAD1	OXNAD1
DPH3	DPH3
GALNTL2	GALNTL2
ANKRD28	ANKRD28
BTD	BTD
HACL1	HACL1
PLEKHA8	PLEKHA8
FKBP14	FKBP14
SCRN1	SCRN1
WIPF3	WIPF3
PRR15	PRR15
CHN2	CHN2
CPVL	CPVL
TRIL	TRIL
CREB5	CREB5
JAZF1	JAZF1
TAX1BP1	TAX1BP1
HIBADH	HIBADH
EVX1	EVX1
HOXA13	HOXA13
HOXA10	HOXA10
HOXA9	HOXA9
HOXA7	HOXA7
HOXA6	HOXA6
HOXA4	SKOR2
HOXA3	HOXA3
HOXA2	HOXA2
HOXA1	HOXA1
SKAP2	SKAP2
SNX10	SNX10
CBX3	CBX3
HNRNPA2B1	HNRNPA2B1
C7ORF31	C7ORF31
CYCS	CYCS
OSBPL3	OSBPL3
DFNA5	DFNA5
MPP6	MPP6
NPY	NPY
STK31	STK31
C7ORF46	FAM221A
CCDC126	CCDC126
IGF2BP3	IGF2BP3
MALSU1	MALSU1
GPNMB	GPNMB
NUPL2	NUPL2
KLHL7	KLHL7
FAM126A	FAM126A
TOMM7	TOMM7
IL6_CHICK	IL6
RAPGEF5	RAPGEF5
CDCA7L	CDCA7L
SP4	SP4
ITGB8	ITGB8
MACC1	MACC1
TMEM196	TMEM196
TWISTNB	TWISTNB
HDAC9_CHICK	HDAC9
SNX13	SNX13
AHR	AHR
AGR3	AGR3
AGR2	AGR2
TSPAN13	TSPAN13
BZW2	BZW2
ANKMY2	ANKMY2
LRRC72	LRRC72
SOSTDC1	SOSTDC1
ISPD	ISPD
MEOX2	MEOX2
AGMO	AGMO
DGKB	DGKB
Q9YHW6_CHICK	ETV1
ARL4A	ARL4A
SCIN	SCIN
VWDE	VWDE
TMEM106B	TMEM106B
THSD7A	THSD7A
PHF14	PHF14
NXPH1	NXPH1
ICA1	ICA1
GLCCI1	GLCCI1
RPA3	RPA3
MIOS	MIOS
C1GALT1	C1GALT1
ASNS	ASNS
ZGC:113263	ZSCAN29
RNPEPL1	RNPEPL1
ABCC5	ABCC5
EIF2B5	EIF2B5
DVL3	DVL3
AP2M1_CHICK	AP2M1
PDZD9	PDZD9
C2ORF18	C2ORF18
WFDC2	WFDC2
DNTTIP1	DNTTIP1
UBE2C	UBE2C
TNNC2	TNNC2
ACOT8	ACOT8
SNX21	SNX21
ZSWIM3	ZSWIM3
ZSWIM1	ZSWIM1
SPATA25	SPATA25
NEURL2	NEURL2
CTSA	CTSA
PLTP	PLTP
PCIF1	PCIF1
ZNF335	ZNF335
MMP9	MMP9
SLC12A5	SLC12A5
NCOA5	NCOA5
CD40	CD40
CDH22	CDH22
SLC35C2	SLC35C2
ELMO2	ELMO2
SNRPN	SNRPB
F1NQV5_CHICK	DDX27
ZNFX1	ZNFX1
CCNDBP1	CCNDBP1
EPB42	EPB42
TGM5	TGM5
TGM6	TGM6
TGM3	TGM3
STAG3	STAG3
AP4M1	AP4M1
MCM7	MCM7
COPS6	COPS6
TDH	TDH
RAD21L1	RAD21L1
SNPH	SNPH
SDCBP2	SDCBP2
EPHB3	EPHB3
PCDH7	PCDH7
LIPA	LIPA
CH25H	CH25H
EPS8L3	EPS8L3
CSF1	CSF1
AHCYL1	AHCYL1
FAM40A	STRIP1
SLC6A17	SLC6A17
KCNC4	KCNC4
RBM15	RBM15
HBXIP	LAMTOR5
PROK1	PROK1
KCNA10	KCNA10
Q68PJ2_CHICK	KCNA2
KCNA3	KCNA3
PHF19	PHF19
CUTA	CUTA
C1D	C1D
MEIS1	MEIS1
KIAA1715	KIAA1715
ATP5G3A	ATP5G3
ATF2	ATF2
CHN1	CHN1
CHRNA1	CHRNA1
WIPF1	WIPF1
GPR155	GPR155
SCRN3	SCRN3
CIR1	CIR1
SP9	SP9
OLA1	OLA1
HLA-DPB1	HLA-DRB5
DDX24	DDX24
PPP4R4	PPP4R4
SERPINA10	SERPINA10
GRID2	GRID2
ATOH1	ATOH1
SMARCAD1	SMARCAD1
PDLIM5	PDLIM5
BMPR1B	BMPR1B
UNC5C	UNC5C
CDH13	CDH13
MLYCD	MLYCD
HSBP1	HSBP1
KCNG4	KCNG4
WFDC1	WFDC1
ATP2C2	ATP2C2
K1609_CHICK	KIAA1609
COTL1	COTL1
KLHL36	KLHL36
USP10	USP10
CRISPLD2	CRISPLD2
ZDHHC7	ZDHHC7
ANKRD5	ANKRD5
SNAP25	SNAP25
MKKS	MKKS
C20ORF94	SLX4IP
JAG1	JAG1
DNAJB9	DNAJB9
THAP5	THAP5
IGHE	IGHE
TXNRD3	TXNRD3
CHST13	CHST13
SLC41A3	SLC41A3
PCDH10	PCDH10
RUNX1T1	RUNX1T1
KCNK2	KCNK2
CENPF	CENPF
PTPN14	PTPN14
SMYD2_CHICK	SMYD2
PROX1	PROX1
PNKD	PNKD
TMBIM1	TMBIM1
GPBAR1	GPBAR1
ARPC2	ARPC2
FYCO1	FYCO1
TNS1	TNS1
IGFBP5	IGFBP5
IGFBP2	IGFBP2
SMARCAL1	SMARCAL1
MARCH4	MARCH4
XRCC5	XRCC5
TMEM169	TMEM169
PECR	PECR
MAP3K2	MAP3K2
ERCC3	ERCC3
CYP27C1	CYP27C1
BIN1	BIN1
CNTNAP5	CNTNAP5
MRAS	MRAS
TMEM177	TMEM177
PTPN4	PTPN4
EPB41L5	EPB41L5
RALB	RALB
GLI2	GLI2
TFCP2L1	TFCP2L1
CLASP1	CLASP1
TSN	TSN
IQCB1	IQCB1
EAF2	EAF2
SLC15A2	SLC15A2
HSPBAP1	HSPBAP1
DIRC2	DIRC2
SEMA5B	SEMA5B
TMLH_CHICK	TMLHE
NP_001072171.1	F8A2
DKC1	DKC1
MPP1	MPP1
F8	F8
FUNDC2	FUNDC2
MTCP1	MTCP1
MTCP1NB	CMC4
BRCC3	BRCC3
FAAH2	FAAH2
IL28RA	IL28RA
CLIC2	CLIC2
NHSL2	NHSL2
MID2	MID2
OCRL	OCRL
XPNPEP2	XPNPEP2
SASH3	SASH3
ZDHHC9	ZDHHC9
UTP14A	UTP14A
BCORL1	BCORL1
AIFM1	AIFM1
MARS2	MARS2
RAB33A	RAB33A
RBMX2	RBMX2
GPR119	GPR119
ENOX2	ENOX2
PIN4	PIN4
GLA	GLA
RPL36A	RPL36A
BTK	BTK
TIMM8A	TIMM8A
TAF7	TAF7
AIPL1	AIPL1
DRP2	DRP2
CENPI	CENPI
TMEM35	TMEM35
FLCN	FLCN
MPRIP	MPRIP
SLC28A3	SLC28A3
NTRK2	NTRK2
RER1_CHICK	RER1
PEX10	PEX10
PLCH2	PLCH2
PANK4	PANK4
TNFRSF14	TNFRSF14
C1ORF93	FAM213B
MMEL1	MMEL1
TTC34	TTC34
SLCO3A1	SLCO3A1
ST8SIA2	ST8SIA2
CHD2	CHD2
TBC1D2	TBC1D2
IKBKAP	IKBKAP
APTX	APTX
DNAJA1	DNAJA1
SMU1	SMU1
B4GALT1	B4GALT1
CST7	CST7
GSR	GSR
TEX15	TEX15
PURG	PURG
WRN	WRN
GTF2E2	GTF2E2
RBPMS	RBPMS
DCTN6	DCTN6
MBOAT4	MBOAT4
PRAGMIN.1	SGK223
ST6GAL1	ST6GAL1
MYEOV2	MYEOV2
CALCOCO2	CALCOCO2
UBE2Z	UBE2Z
SNF8	SNF8
IGF2BP1	IGF2BP1
GNGT2	GNGT2
ABI3	ABI3
PHOSPHO1	PHOSPHO1
RIF1	RIF1
NEB	NEB
ARL5A	ARL5A
B6IDG1_ANOCA	CACNB4
STAM2	STAM2
FMNL2	FMNL2
PRPF40A	PRPF40A
ARL6IP6	ARL6IP6
RPRM	RPRM
GALNT13	GALNT13
KCNJ3	KCNJ3
URI1	URI1
ZNF536	ZNF536
SETMAR	SETMAR
LRRN1	LRRN1
CRBN	CRBN
TRNT1	TRNT1
CNTN4	CNTN4
CNTN6	CNTN6
CHL1	CHL1
NP_001120013.1	CCDC101
KREMEN2	KREMEN2
PAQR4	PAQR4
PKMYT1	PKMYT1
SRRM2	SRRM2
TCEB2	TCEB2
PRSS27	PRSS33
PRSS22	PRSS27
MFAP4	MFAP4
LDLRAD3	LDLRAD3
COMMD9	COMMD9
H2AFY2	H2AFY2
AIFM2	AIFM2
CHST3	CHST3
F1NQT9_CHICK	CASQ2
VANGL1	VANGL1
CHD1L	CHD1L
LSM3	LSM3
XPC	XPC
TMEM43	TMEM43
CHCHD4	CHCHD4
UROC1	UROC1
ZXDC	ZXDC
CCDC37	CCDC37
KLF15	KLF15
SPACA5	SPACA5
MBD1	MBD1
CXXC1	CXXC1
MON1B	MON1B
PTPN18	PTPN18
IMP4	IMP4
RBM10	RBM10
NDUFB11	NDUFB11
UBA1	UBA1
RHOA	RHOA
ZPAX	ZPAX
CDK16	CDK16
USP11	USP11
UXT	UXT
CFP	CFP
SYN1	SYN1
TIMP1	TIMP1
ARAF	ARAF
OR1F1	OR1B1
OR1L6	OR1N2
SPACA3	SPACA3
LYZ	LYZ
PROP1	PROP1
RBM3	RBM3
ABT1	ABT1
GRM6	GRM6
ZWINT	ZWINT
WDR13	WDR13
SUV39H1	SUV39H1
WAS	WAS
SLC38A5	SLC38A5
TBC1D25	TBC1D25
EBP	EBP
PORCN	PORCN
FTSJ1	FTSJ1
GPKOW	GPKOW
WDR45	WDR45
PRAF2	PRAF2
CCDC120	CCDC120
TFE3	TFE3
GRIPAP1	GRIPAP1
KCND1	KCND1
OTUD5	OTUD5
PIM2	PIM2
ALCAM	ALCAM
ANKS3	ANKS3
C16ORF71	C16ORF71
GPR132	GPR132
CDCA4	CDCA4
C14ORF79	C14ORF79
ADSSL1	ADSSL1
SIVA1	SIVA1
AKT1	AKT1
UBR2	UBR2
PRPH2	PRPH2
TBCC	TBCC
KIAA0240	KIAA0240
EML4	EML4
COX7A2L	COX7A2L
KCNG3	KCNG3
RHOT2	RHOT2
RHBDL1	RHBDL1
STUB1	STUB1
JMJD8	JMJD8
KLHL10.1	KLHL10
WDR24_CHICK	WDR24
FBXL16	FBXL16
METRN	METRN
FAM173A	FAM173A
CCDC78	CCDC78
LUC7L	LUC7L
NLRP6	NLRC3
CLUAP1	CLUAP1
CMPK2	CMPK2
RSAD2	RSAD2
RNF144A	RNF144A
ENPEP	ENPEP
PITX2	PITX2
AP1AR	AP1AR
TIFA	TIFA
ALPK1	ALPK1
C4ORF21	C4ORF21
LARP7	LARP7
ANK2	ANK2
PSMA3	PSMA3
RNF112	RNF112
MUC16	MUC16
ZAP70	ZAP70
ADAMTS10	ADAMTS10
MYO1F	MYO1F
OAZ1_CHICK	OAZ1
PLEKHJ1	PLEKHJ1
DOT1L	DOT1L
AP3D1	AP3D1
IZUMO4	IZUMO4
MOB3A	MOB3A
MKNK2	MKNK2
BTBD2	BTBD2
CSNK1G2	CSNK1G2
SCAMP4	SCAMP4
MEX3D	MEX3D
MBD3	MBD3
Q788W0_CHICK	TCF3
ONECUT2	ONECUT3
ATP8B3	ATP8B3
REXO1	REXO1
FAM108A1	FAM108A1
F1P0C4_CHICK	SIRT6
CREB3L3	CREB3L3
MAP2K2	MAP2K2
PIAS4	PIAS4
EEF2	EEF2
DAPK3	DAPK3
ELAVL1	ELAVL1
RX1_CHICK	RAX2
ZGC:101744	REEP6
PCSK4	PCSK4
CERS4	CERS4
TIMM44	TIMM44
Q5ZL80_CHICK	HNRNPM
MARCH2	MARCH2
Q5F3R8_CHICK	RAB11B
ANGPTL4	ANGPTL4
ACER1	ACER1
PRR22	PRR22
RFX2	RFX2
ACSBG2	ACSBG2
MLLT1	MLLT1
DUS3L	DUS3L
NRTN	NRTN
ATCAY	ATCAY
ITGB1BP3	NMRK2
KANK3	KANK3
NDUFA7	NDUFA7
ABHD8	ABHD8
ANKLE1	ANKLE1
BABAM1	BABAM1
USHBP1	USHBP1
NR2F6	NR2F6
SI:RP71-39B20.3	KCNN1
CCDC124	CCDC124
SLC5A5	SLC5A5
JAK3	JAK3
XB-GENE-996589	B3GNT3
FCHO1	FCHO1
MAP1S	MAP1S
GADD45B	GADD45B
FUT3	FUT5
GNG7	GNG7
H1FOO	H1FOO
DIRAS1	DIRAS1
SLC39A3	SLC39A3
MIDN	MIDN
ATP5D	ATP5D
C19ORF24	C19ORF24
NDUFS7	NDUFS7
GAMT	GAMT
Q5ZM92_CHICK	DAZAP1
RS15_CHICK	RPS15
APC2	APC2
TJP3	TJP3
APBA3	APBA3
MRPL54	MRPL54
C19ORF25	C19ORF25
PIP5K1C	PIP5K1C
XB-GENE-5764783	PRSSL1
FSTL3	FSTL3
C19ORF60	C19ORF60
CRLF1	CRLF1
TMEM59L	TMEM59L
KLHL26	KLHL26
CRTC1	CRTC1
COMP	COMP
UPF1	UPF1
Q98950_CHICK	GDF3
CERS1	CERS1
COPE_CHICK	COPE
DDX49	DDX49
HOMER3	HOMER3
SUGP2	SUGP2
ARMC6	ARMC6
SLC25A42	SLC25A42
TMEM161A	TMEM161A
MEF2B	MEF2B
TMEM221	TMEM221
MEF2BNB-MEF2B	MEF2BNB
RFXANK	RFXANK
AP1M1	AP1M1
RAB8A_CHICK	RAB8A
FAM32A	FAM32A
EPS15L1	EPS15L1
C19ORF44	C19ORF44
CHERP	CHERP
SLC35E1	SLC35E1
MED26	MED26
TMEM38A	TMEM38A
SIN3B	SIN3B
F2RL3	F2RL3
CPAMD8	CPAMD8
IFI30	IFI30
PIK3R2	PIK3R2
MAST3	MAST3
IL12RB1	IL12RB1
ARRDC2	ARRDC2
PEX11G	PEX11G
ARHGEF18	ARHGEF18
F1NRT9_CHICK	INSR
USE1	USE1
RPL36	RPL36
LONP1	LONP1
SLC1A6	SLC1A6
NDUFA11	NDUFA11
VMAC	VMAC
RANBP3	RANBP3
ZNF414	ZNF414
MYO9B	MYO9B
HAUS8	HAUS8
RAB3A	RAB3A
JUND	JUND
LSM4	LSM4
PGPEP1	PGPEP1
ISYNA1	ISYNA1
Q5ZLS5_CHICK	ELL
MRPL34	MRPL34
ANO8	ANO8
GTPBP3	GTPBP3
PALM	PALM
PTBP1	PTBP1
CFD	CFD
MED16	MED16
R3HDM4	R3HDM4
ARID3A	ARID3A
RNF126	RNF126
FGF22	FGF22
POLR2E	POLR2E
HMHA1	HMHA1
CNN2	CNN2
C1ORF158	C1ORF158
PRDM2	PRDM2
KAZN	KAZN
TMEM51	TMEM51
FHAD1	FHAD1
ACTL9	ACTL9
CELA2A	CTRC
CASP9	CASP9
DNAJC16	DNAJC16
PINK1	PINK1
ITPRIPL1	ITPRIPL1
FAM43B	FAM43B
UBXN10	UBXN10
Q5ZMC1_CHICK	DDX19B
VWA5B1	VWA5B1
CAMK2N1	CAMK2N1
MUL1	MUL1
PLA2G2E	PLA2G2F
OTUD3	OTUD3
RNF186	RNF186
YBOX1_CHICK	YBX1
CCDC30	CCDC30
PPCS	PPCS
ZMYND12	ZMYND12
F1NF68_CHICK	SLC2A1
PHC2	PHC2
LRRC47	LRRC47
CEP104	CEP104
DFFB	DFFB
C1ORF174	C1ORF174
AJAP1	AJAP1
FGF13	FGF13
TMEM141	TMEM141
CLIC3	CLIC3
ABCA2	ABCA2
Q8UWB9_CHICK	FUT7
NPDC1	NPDC1
F1NGR8_CHICK	ENTPD2
SAPCD2	SAPCD2
UAP1L1	UAP1L1
MAN1B1	MAN1B1
DPP7	DPP7
ABO.1	GGTA1
DAB2IP	DAB2IP
TTLL11	TTLL11
NDUFA8	NDUFA8
LHX6	LHX6
RBM18	RBM18
MRRF	MRRF
PTGS1	PTGS1
PDCL	PDCL
RC3H2	RC3H2
ZBTB6	ZBTB6
RABGAP1	RABGAP1
GPR21	GPR21
STRBP_CHICK	STRBP
CRB2	CRB2
DENND1A	DENND1A
LHX2	LHX2
Q5F3L5_CHICK	NEK6
Q7ZT63_CHICK	PSMB7
GPR144	GPR144
NR5A1	NR5A1
NR6A1	NR6A1
OLFML2A	OLFML2A
WDR34	WDR34
SPTAN1	SPTAN1
GLE1	GLE1
ODF2	ODF2
PTGES2	PTGES2
C9ORF16	C9ORF16
CIZ1	CIZ1
DNM1	DNM1
GOLGA2	GOLGA2
TRUB2	TRUB2
COQ4	COQ4
SLC27A4	SLC27A4
URM1	URM1
CERCAM	CERCAM
C9ORF117	C9ORF117
PTRH1	PTRH1
TTC16	TTC16
TOR2A	TOR2A
SH2D3C	SH2D3C
CDK9_CHICK	CDK9
FPGS	FPGS
ENG	ENG
AK1	AK1
ST6GALNAC6	ST6GALNAC6
ST6GALNAC4	ST6GALNAC4
PIP5KL1	PIP5KL1
FAM102A	FAM102A
NAIF1	NAIF1
SLC25A25	SLC25A25
COL27A1	COL27A1
MEGF9	MEGF9
CDK5RAP2	CDK5RAP2
DHPS	DHPS
SLITRK6	SLITRK6
SLITRK1	SLITRK1
ZFAT	ZFAT
ST3GAL1	ST3GAL1
NDRG1	NDRG1
WISP1	WISP1
TG	TG
SLA	SLA
PHF20L1	PHF20L1
TMEM71	TMEM71
LRRC6	LRRC6
PTPRU	PTPRU
MECR	MECR
SRSF4	SRSF4
TMEM200B	TMEM200B
EPB41	EPB41
TRNAU1AP	TRNAU1AP
IL1F10	IL1F8
LZTS1	LZTS1
ATP6V1B2	ATP6V1B2
MAK16	MAK16
TTI2	TTI2
RNF122	RNF122
DUSP26	DUSP26
TMX4	TMX4
PLCB1	PLCB1
PLCB4	PLCB4
XB-GENE-5797210	CAR15
PNPT1	PNPT1
SMEK2	SMEK2
CCDC104	CCDC104
MTIF2	MTIF2
RPS27A	UBC
C2ORF63	CLHC1
RTN4	RTN4
EML6	EML6
SPTBN1	SPTBN1
ATP1B4	ATP1B4
LAMP2_CHICK	LAMP2
CUL4B	CUL4B
MCTS1_CHICK	MCTS1
C1GALT1C1	C1GALT1C1
ZNF462	ZNF462
RAD23B	RAD23B
KLF4	KLF4
UGT2A1	UGT2A1
C6ORF10	C6ORF10
SLC20A2	SLC20A2
SGK196	SGK196
HGSNAT	HGSNAT
PARM1	PARM1
CDKL2	CDKL2
G3BP2	G3BP2
USO1	USO1
SH2D4A	SH2D4A
CSGALNACT1	CSGALNACT1
INTS10	INTS10
BTC	BTC
SMYD1	SMYD1
FABP1	FABP1
THNSL2	THNSL2
EIF2AK3	EIF2AK3
RPIA	RPIA
CTSC	CTSC
CATSPERB	CATSPERB
SMEK1	SMEK1
CCDC88C	CCDC88C
GPR68	GPR68
C14ORF159	C14ORF159
KS6A5_CHICK	RPS6KA5
TTC7B	TTC7B
C14ORF102	NRDE2
KCNK13	KCNK13
TDP1	TDP1
EFCAB11	EFCAB11
TSKU	TSKU
PLXNA2	PLXNA2
CD34	CD34
C4BPA	CD55
SLC35A2	SLC35A2
PQBP1	PQBP1
TIMM17B	TIMM17B
FAM19A1	FAM19A1
CDK20	CDK20
GATA1	GATA1
HDAC6	HDAC6
PLP2	PLP2
PRICKLE3	PRICKLE3
SPATA17	SPATA17
Q5F3Y2_CHICK	GPATCH2
Q5UKY7_CHICK	ESRRG
THAP7	THAP7
JOSD2	JOSD2
ASPDH	ASPDH
LRRC4B	LRRC4B
CLEC11A	CLEC11A
C19ORF81	C19ORF81
SYT3	SYT3
C19ORF63	EMC10
FAM71E1	FAM71E1
MYBPC2	MYBPC2
SPIB	SPIB
POLD1	POLD1
NR1H2	NR1H2
RUVBL2	RUVBL2
PNKP	PNKP
SLC35D1	SLC35D1
MIER1	MIER1
WDR78	WDR78
TCTEX1D1	TCTEX1D1
SGIP1	SGIP1
PDE4B	PDE4B
LEPR	LEPR
LEPROT	LEPROT
DNAJC6	DNAJC6
AK4	AK4
JAK1	JAK1
RAVER2	RAVER2
MGAT5B	MGAT5B
MFSD11	MFSD11
JMJD6	JMJD6
SIA7A_CHICK	ST6GALNAC1
ST6GALNAC2	ST6GALNAC2
F1NN29_CHICK	CYGB
RHBDF2	RHBDF2
AANAT	AANAT
SPHK1	SPHK1
PRPSAP1	PRPSAP1
MLL5	MLL5
PUS7	PUS7
RINT1	RINT1
EFCAB10	EFCAB10
ATXN7L1	ATXN7L1
SYPL1	SYPL1
Q58I02_CHICK	NAMPT
CCDC71L	CCDC71L
PC	PC
SI:DKEY-46D17.3	LRFN4
BCAN	BCAN
HAPLN2	HAPLN2
MEF2D	MEF2D
IQGAP3	IQGAP3
TTC24	TTC24
OR4S2	OR4S2
KDM2A	KDM2A
ADRBK1	ADRBK1
ANKRD13D	ANKRD13D
SSH3	SSH3
RAD9A	RAD9A
PPP1CA	PPP1CA
TBC1D10C	TBC1D10C
CARNS1	CARNS1
RPS6KB2	RPS6KB2
PTPRCAP	RTL1
CORO1B	CORO1B
CABP4	CABP4
TBX10	TBX10
TCIRG1	TCIRG1
NDUFS8	NDUFS8
E1C078_CHICK	ALDH3B2
UNC93B1	UNC93B1
MAX	MAX
FNTB	FNTB
GPX2	GPX2
CHURC1	CHURC1
SPTB	SPTB
HIF1A	HIF1A
SNAPC1	SNAPC1
SYT16	SYT16
COPS3	COPS3
SPATA16	SPATA16
ECT2	ECT2
NCEH1	NCEH1
TNFSF10	TNFSF10
GHSR	GHSR
FNDC3B	FNDC3B
TMEM212	TMEM212
PLD1	PLD1
TNIK	TNIK
SLC2A2	SLC2A2
EIF5A2	EIF5A2
RPL22L1	RPL22L1
SLC7A14	SLC7A14
CLDN11	CLDN11
SKIL	SKIL
PRKCI	PRKCI
PHC3	PHC3
AKAP4	AKAP4
