mouse	eggnog
Ttc8	TTC8
Krtap6-3	KRTAP21-2
Letm2	LETM2
Kcnd3	KCND3
Plekhb1	PLEKHB1
Stox2	STOX2
Rph3a	RPH3A
Chpf	CHPF
Prpf38a	PRPF38A
H13	HM13
Ipmk	IPMK
Numbl	NUMBL
Mmel1	MMEL1
Nrsn2	NRSN2
S100a7a	S100A15A
Nme5	NME5
Arhgef26	ARHGEF26
Lypd4	LYPD4
Gmfb	GMFB
Mctp2	MCTP2
Ubl3	UBL3
Ablim1	ABLIM1
Adam1b	ADAM1B
Lin28b	LIN28B
Aspg	ASPG
Pgghg	ATHL1
Zfp239	ZNF227
Fkbp5	FKBP5
Cep89	CEP89
Cntn4	CNTN4
Rnf183	RNF183
Daxx	DAXX
Fam57b	FAM57B
Tmem91	TMEM91
Zbtb20	ZBTB20
Kcnk2	KCNK2
Wdr90	WDR90
Nuggc	NUGGC
Aadat	AADAT
Nlrp3	NLRP3
Ube2s	UBE2S
Cherp	CHERP
Rad51b	RAD51B
St6galnac2	ST6GALNAC2
Phc1	PHC1
Myo1a	MYO1A
Paqr9	PAQR9
Etv5	ETV5
AA415398	AA415398
Ankrd61	ANKRD61
Tor3a	TOR3A
Exosc5	EXOSC5
Cldn24	CLDN24
Ybx1	YBX1
1190007I07Rik	C12ORF73
Sox7	SOX7
Cyb5d2	CYB5D2
Gss	GSS
Gpatch1	GPATCH1
Phactr2	PHACTR2
Nsmce2	NSMCE2
En1	EN1
Hax1	HAX1
Ctbp1	CTBP1
Grik2	GRIK2
Cpeb3	CPEB3
Wdr83os	WDR83OS
Tnfrsf11b	TNFRSF11B
Csnk1g2	CSNK1G2
B3gnt5	B3GNT5
Myl3	MYL3
Mkx	MKX
Pcyt1a	PCYT1A
Pth	PTH
Stk24	STK24
Gpr84	GPR84
Ntrk2	NTRK2
Hsf2	HSF2
Hdac7	HDAC7
Suclg2	SUCLG2
Znrf2	ZNRF2
Scamp4	SCAMP4
Lgals12	LGALS12
Btbd9	BTBD9
Phex	PHEX
Fcer1g	FCER1G
Nup93	NUP93
Hspbp1	HSPBP1
Unc13b	UNC13B
Las1l	LAS1L
Zfand2a	ZFAND2A
Tyw5	TYW5
Ufc1	UFC1
Gspt1	GSPT1
Htt	HTT
Egln2	EGLN2
Slc27a4	SLC27A4
Slc4a2	SLC4A2
Krit1	KRIT1
Abcc12	ABCC12
Rnase1	RNASE1
Tmem117	TMEM117
Adamts16	ADAMTS16
Immp2l	IMMP2L
Fip1l1	FIP1L1
Rufy4	RUFY4
Pabpc4	PABPC4
AI413582	AI413582
Sirt7	SIRT7
Epb41l3	EPB41L3
Klk11	KLK11
Ppm1b	PPM1B
Tsks	TSKS
Birc5	BIRC5
Btnl1	BTNL1
Yaf2	YAF2
Rps25	RPS25
1700007G11Rik	C4ORF22
Zfp551	ZNF551
Ing2	ING2
Snrpa	SNRPA
Rest	REST
Olfr411	OR3A1
Atp8a2	ATP8A2
Mtss1	MTSS1
Arl1	ARL1
Magel2	MAGEL2
Zfp251	ZNF7
Cabyr	CABYR
Nedd4l	NEDD4L
Opn1sw	OPN1SW
Slc5a6	SLC5A6
Dag1	DAG1
Dennd5a	DENND5A
Hspa2	HSPA2
Tbpl2	TBPL2
Met	MET
Rpl36	RPL36
Gnas	GNAS
Hist1h1b	HIST1H1B
Rpp25	RPP25
2610301B20Rik	C8ORF37
Sbsn	SBSN
Arntl2	ARNTL2
Abce1	ABCE1
Rac1	RAC1
Pprc1	PPRC1
Deaf1	DEAF1
Sema3f	SEMA3F
Tas2r114	TAS2R114
Zfp941	D3ERTD254E
Cdhr5	CDHR5
Dnah9	DNAH9
Ryr3	RYR3
Utp14a	UTP14A
Lypd3	LYPD3
Chsy3	CHSY3
Tax1bp1	TAX1BP1
Agbl4	AGBL4
1810041L15Rik	KIAA1644
Lhfpl5	LHFPL5
Cdh3	CDH3
Sfxn4	SFXN4
Zc3hc1	ZC3HC1
Rps17	RPS17
Rnf169	RNF169
Ipo11	IPO11
Atp1a3	ATP1A3
Pfkfb1	PFKFB1
Dbp	DBP
Krt17	KRT17
Olfr15	OR2C1
Thrap3	THRAP3
Nxf3	NXF3
Fes	FES
Krcc1	KRCC1
Lrp2	LRP2
Os9	OS9
Tmem26	TMEM26
Zfp28	ZFP28
Etv6	ETV6
Trim72	TRIM72
Cenpi	CENPI
Entpd7	ENTPD7
Slc30a2	SLC30A2
Timm17a	TIMM17A
Impdh2	IMPDH2
Olfr666	OR52N2
Slc24a3	SLC24A3
Myt1	MYT1
Sycp2	SYCP2
Pikfyve	PIKFYVE
Homez	HOMEZ
Apbb1	APBB1
Sgcb	SGCB
Manbal	MANBAL
Wdr91	WDR91
Fmnl3	FMNL3
Plcg2	PLCG2
Ebf1	EBF1
Spink12	SPINK9
Armc4	ARMC4
Serpinb12	SERPINB12
Syngap1	SYNGAP1
Fam3c	FAM3C
Cyhr1	CYHR1
Apeh	APEH
Blm	BLM
Akr1c19	AKR1C19
Fxn	FXN
Rrp1b	RRP1B
Fmn1	FMN1
Plac8l1	PLAC8L1
Slco1a5	SLCO1A5
Mbtps1	MBTPS1
Adrb3	ADRB3
Scnn1a	SCNN1A
Lgals7	LGALS7
Ltbp3	LTBP3
Pop5	POP5
Pbx4	PBX4
Scoc	SCOC
Mgmt	MGMT
Paqr7	PAQR7
Kcnd2	KCND2
Tcea1	TCEA1
Sdhc	SDHC
Mtf2	MTF2
Nhs	NHS
Syt17	SYT17
Zc3h15	ZC3H15
Sh3pxd2a	SH3PXD2A
Mettl15	METTL15
Prkag3	PRKAG3
Rpl3	RPL3
Gper1	GPER
Golga2	GOLGA2
Ppil3	PPIL3
Gon4l	GON4L
Trabd	TRABD
Dync1i2	DYNC1I2
Hoga1	HOGA1
Ezh2	EZH2
Ctnnd2	CTNND2
Fam214a	FAM214A
0610040J01Rik	C4ORF19
Olfr64	OR51B4
Nfe2l1	NFE2L1
Mug2	MUG2
Cacul1	CACUL1
Mgat1	MGAT1
Bbof1	CCDC176
Armcx3	ARMCX3
Zdhhc12	ZDHHC12
Rpl32	RPL32
Tmeff2	TMEFF2
Tor4a	TOR4A
Nell1	NELL1
Lamp3	LAMP3
Syn1	SYN1
Dysf	DYSF
Myh13	MYH13
Musk	MUSK
Ifitm6	IFITM6
Zfp341	ZNF341
Nmt2	NMT2
Dtx3l	DTX3L
Krt87	KRT85
Timm50	TIMM50
Hopx	HOPX
Odf1	ODF1
Med9	MED9
Dzank1	DZANK1
Rnf217	RNF217
Mpp5	MPP5
Erbb3	ERBB3
Chil1	CHI3L1
Rit2	RIT2
Tas2r131	TAS2R42
Mamld1	MAMLD1
Ap3b2	AP3B2
Rpl38	RPL38
Ptcd3	PTCD3
Csmd1	CSMD1
Macf1	MACF1
Zfp42	ZFP42
Max	MAX
Ube2o	UBE2O
Fat3	FAT3
Trim68	TRIM68
Kdm5c	KDM5C
Zc3h12b	ZC3H12B
Hdac10	HDAC10
Scn8a	SCN8A
Mep1b	MEP1B
Jakmip2	JAKMIP2
Slc39a12	SLC39A12
4930522H14Rik	C1ORF185
Cr2	CR2
Mdc1	MDC1
Sult4a1	SULT4A1
Cd36	CD36
Csn2	CSN2
Luzp2	LUZP2
Fam47e	FAM47E
mt-Nd1	ND1
mt-Nd2	ND2
mt-Co1	COX1
mt-Co2	COX2
mt-Atp8	ATP8
mt-Atp6	ATP6
mt-Co3	COX3
mt-Nd3	ND3
mt-Nd4	ND4
mt-Nd6	ND6
mt-Cytb	CYTB
Selenop	SEPP1
Dio1	DIO1
Sephs2	SEPHS2
Gpx1	GPX1
Gpx3	GPX3
Gpx2	GPX2
Dio2	DIO2
Selenoo	SELO
Whsc1l1	WHSC1L1
Fgfr1	FGFR1
Tacc1	TACC1
Htra4	HTRA4
Adam9	ADAM9
Ank1	ANK1
Cd209b	CD209B
Aurkaip1	AURKAIP1
Plekhg5	PLEKHG5
Nol9	NOL9
Pgd	PGD
Phactr4	PHACTR4
Dhrs3	DHRS3
Arhgef10	ARHGEF10
Hnrnpr	HNRNPR
Zdhhc18	ZDHHC18
Wasf2	WASF2
Spocd1	SPOCD1
Zfp384	ZNF384
Ago4	EIF2C4
Akirin2	AKIRIN2
Cldn19	CLDN19
Dmbx1	DMBX1
Kif19a	KIF19
Insl5	INSL5
Mob2	MOB2
Cend1	CEND1
Cd163l1	ENSG00000214279
Frmd3	FRMD3
Dock1	DOCK1
Fam175b	FAM175B
Oat	OAT
Pappa	PAPPA
Bub3	BUB3
Fam24a	FAM24A
Dmbt1	DMBT1
Wdr11	WDR11
Prpf4	PRPF4
Cdc26	CDC26
Slc31a1	SLC31A1
Fkbp15	FKBP15
Slc31a2	SLC31A2
Cacng3	CACNG3
Anks6	ANKS6
Tbc1d2	TBC1D2
Hs3st2	HS3ST2
Abca14	ABCA14
Spag8	SPAG8
Acsm2	ACSM2A
Gpr139	GPR139
Plekha7	PLEKHA7
Galt	GALT
Arid3c	ARID3C
Fyco1	FYCO1
3110043O21Rik	C9ORF72
Zfp143	ZNF143
Ipo7	IPO7
Tmem42	TMEM42
Nlrp14	NLRP14
Fut9	FUT9
Klhl32	KLHL32
Scn10a	SCN10A
Olfr640	OR51I1
Dnah17	DNAH17
Dnah11	DNAH11
Olfr586	OLFR586
Olfr575	OLFR575
Golga4	GOLGA4
Ncapg2	NCAPG2
Chrna10	CHRNA10
Numa1	NUMA1
Gpd1l	GPD1L
Crtap	CRTAP
Crip2	CRIP2
Pacs2	PACS2
Dpy19l4	DPY19L4
Pde2a	PDE2A
Arap1	ARAP1
Rtp3	RTP3
Als2cl	ALS2CL
Klc1	KLC1
Trmt61a	TRMT61A
Impad1	IMPAD1
Rcor1	RCOR1
Myo7a	MYO7A
Ppp2r5c	PPP2R5C
Aqp11	AQP11
Ip6k2	IP6K2
Nhlrc4	NHLRC4
Gpr171	GPR171
Amigo3	AMIGO3
Actl11	ACTL11
Arnt2	ARNT2
Unc79	UNC79
Mex3b	MEX3B
Cish	CISH
Iqcf4	IQCF4
Iqcf5	IQCF5
Iqcf1	IQCF1
Ptpn21	PTPN21
Tlr9	TLR9
Sv2b	SV2B
Msl2	MSL2
Ythdf2	YTHDF2
Aldh6a1	ALDH6A1
Gk5	GK5
Slc39a9	SLC39A9
Morf4l1	MORF4L1
Rdh11	RDH11
Htatip2	HTATIP2
Impg1	IMPG1
Daam1	DAAM1
Hrc	HRC
Tex9	TEX9
Slc17a7	SLC17A7
Pih1d1	PIH1D1
Brms1l	BRMS1L
Scaf1	SCAF1
Ralgapa1	RALGAPA1
Ap2a1	AP2A1
Coch	COCH
Izumo2	IZUMO2
Isg15	ISG15
Rasl12	RASL12
Klk8	KLK8
Uri1	URI1
Anp32a	ANP32A
Diexf	DIEXF
Lsm14a	LSM14A
Pdx1	PDX1
4931406P16Rik	KIAA0355
Usp12	USP12
Mfsd7b	FLVCR1
Nptn	NPTN
6030419C18Rik	C15ORF59
Zfp655	ZNF655
Pml	PML
Kctd3	KCTD3
Arpc1b	ARPC1B
Smurf1	SMURF1
Tecpr1	TECPR1
Stat2	STAT2
Ppcdc	PPCDC
Mark4	MARK4
Susd4	SUSD4
Ttc32	TTC32
Wdr35	WDR35
Card11	CARD11
Sipa1l3	SIPA1L3
Ncoa1	NCOA1
Kcnk6	KCNK6
Map4k1	MAP4K1
Olfr220	OR6Y1
Cfap45	CCDC19
Dyrk1b	DYRK1B
Atp1a2	ATP1A2
Fxyd6	FXYD6
Dusp27	DUSP27
Wbscr17	WBSCR17
Nme7	NME7
Caln1	CALN1
F5	F5
Clasrp	CLASRP
Gbas	GBAS
Piwil1	PIWIL1
Bscl2	BSCL2
Olfr878	OR8B4
Olfr145	OR8B8
Scarb1	SCARB1
Tnfsf18	TNFSF18
Ptgir	PTGIR
Prkd2	PRKD2
Ap2s1	AP2S1
Pitpnm2	PITPNM2
6430550D23Rik	C20ORF173
Fam20b	FAM20B
Nfrkb	NFRKB
Glul	GLUL
Rnasel	RNASEL
Anapc5	ANAPC5
Milr1	MILR1
AB124611	C19ORF38
Tmem150b	TMEM150B
1700007K13Rik	C9ORF116
Eps8l1	EPS8L1
Cdkn2d	CDKN2D
Gpr25	GPR25
Icam1	ICAM1
Nck2	NCK2
Fbxl12	FBXL12
Rfc5	RFC5
Vsig10	VSIG10
Suds3	SUDS3
Chit1	CHIT1
Rplp0	RPLP0
Cntn2	CNTN2
Slc8a1	SLC8A1
Cdkl4	CDKL4
Slc41a1	SLC41A1
Dao	DAO
Zranb3	ZRANB3
Tmem211	TMEM211
Myo18b	MYO18B
Cryba4	CRYBA4
Pitpnb	PITPNB
Alk	ALK
Zfp605	ZNF605
Plcxd1	PLCXD1
Serpinb7	SERPINB7
Mtcl1	SOGA2
Serpinb5	SERPINB5
Man2a1	MAN2A1
Barhl2	BARHL2
Kif1a	KIF1A
Pkd2	PKD2
Tcf7	TCF7
Hes6	HES6
Mapk10	MAPK10
Fam132b	FAM132B
Ccdc94	CCDC94
Asb18	ASB18
Hnrnpdl	HNRPDL
Nt5c2	NT5C2
Mfsd13a	TMEM180
Gpr55	GPR55
Kcnip2	KCNIP2
Slc22a7	SLC22A7
Polr1c	POLR1C
Xpo5	XPO5
Jchain	IGJ
Col4a4	COL4A4
Fam92a	FAM92A1
Cdkl5	CDKL5
Cenpq	CENPQ
Speg	SPEG
Golga7b	GOLGA7B
Eif1ax	EIF1AX
Klhl34	KLHL34
Trim40	TRIM40
Gemin8	GEMIN8
Opalin	OPALIN
Lrrc66	LRRC66
Stk36	STK36
Ociad2	OCIAD2
Gnl1	GNL1
Fry	FRY
Ppp1r10	PPP1R10
Nipal1	NIPAL1
Cnga1	CNGA1
Cnot9	RQCD1
Guf1	GUF1
Shisa3	SHISA3
Lgi1	LGI1
Tro	TRO
Apbb2	APBB2
N4bp2	N4BP2
Abca12	ABCA12
Vars	VARS
Capn6	CAPN6
Ppp1r3c	PPP1R3C
Pgm1	PGM2
Rell1	RELL1
Tmem164	TMEM164
Kif20b	KIF20B
Adam23	ADAM23
Kcnip4	KCNIP4
Tnxb	TNXB
Bmpr2	BMPR2
Tmem237	TMEM237
C2cd5	KIAA0528
Col11a2	COL11A2
Tmem128	TMEM128
Lyar	LYAR
Nif3l1	NIF3L1
Trmt2b	TRMT2B
Smc5	SMC5
Tspan6	TSPAN6
Mtg2	GTPBP5
Hnrnpm	HNRNPM
Boll	BOLL
Gda	GDA
Myo1f	MYO1F
Plekha5	PLEKHA5
Adamts10	ADAMTS10
Htra3	HTRA3
Pik3c2g	PIK3C2G
Hecw2	HECW2
Hmx1	HMX1
Dera	DERA
Prune2	PRUNE2
Mfsd6	MFSD6
Ephx3	EPHX3
Notch3	NOTCH3
Gsg1	GSG1
Olfr76	OR5A1
Olfr1428	OR4D6
Olfr1427	OLFR1427
Olfr1423	OR4D11
Uvssa	UVSSA
Uprt	UPRT
Hdac8	HDAC8
Ms4a15	MS4A15
Zfp827	ZNF827
Tpp2	TPP2
Rab44	RAB44
Med12	MED12
Cbln4	CBLN4
Vps37c	VPS37C
S1pr3	S1PR3
Il18r1	IL18R1
Krt77	KRT77
Fance	FANCE
Myrf	C11ORF9
Krt74	KRT74
Nms	NMS
Klri1	KLRI1
Krt86	KRT86
Dpysl5	DPYSL5
Sulf2	SULF2
Ttc9c	TTC9C
Ncoa3	NCOA3
Zfx	ZFX
Adgrf3	GPR113
Mageb18	MAGEB18
Hs6st2	HS6ST2
Hs6st1	HS6ST1
Ndufa9	NDUFA9
Aqp5	AQP5
Tbl1x	TBL1X
Trpt1	TRPT1
Actr3b	ACTR3B
Trmt112	TRMT112
Wfdc13	WFDC13
Rab23	RAB23
Lpar5	LPAR5
Chpf2	CHPF2
Phf3	PHF3
Gbx1	GBX1
Mapk8ip3	MAPK8IP3
Usf3	KIAA2018
Srgap3	SRGAP3
Slc15a1	SLC15A1
Srpk2	SRPK2
Mbnl2	MBNL2
Pkhd1	PKHD1
Slc38a1	SLC38A1
Defb41	DEFB110
Clec4a3	CLEC4A3
Pi15	PI15
Magea10	MAGEA10
Nnat	NNAT
Blcap	BLCAP
Dnase1l2	DNASE1L2
Magi2	MAGI2
Xkr9	XKR9
Fmr1	FMR1
Myl9	MYL9
Pex26	PEX26
Sulf1	SULF1
Elfn2	ELFN2
Arfgef1	ARFGEF1
Zic3	ZIC3
Htatsf1	HTATSF1
Ccdc87	CCDC87
Mybl1	MYBL1
3110035E14Rik	C8ORF46
Casp16-ps	CASP16
Htr1d	HTR1D
Smarcc1	SMARCC1
Olfm4	OLFM4
Sri	SRI
Ppp6r2	PPP6R2
4921511H03Rik	C7ORF62
Zfp160	ZNF160
Mapk11	MAPK11
Mapk12	MAPK12
Gtpbp10	GTPBP10
Espnl	ESPNL
Brd1	BRD1
Gtf2f2	GTF2F2
Gramd4	GRAMD4
Tmem181a	TMEM181
Bpifb3	BPIFB3
Bpifb6	BPIFB6
Mkrn2os	MKRN2-AS1
Lrch1	LRCH1
Hrh1	HRH1
Atp2b2	ATP2B2
Snn	SNN
Mas1	MAS1
Tatdn2	TATDN2
Tcp1	TCP1
Tm9sf4	TM9SF4
Nudt18	NUDT18
Rnf121	RNF121
Map3k4	MAP3K4
Tcf15	TCF15
Cenpm	CENPM
Tnfrsf13c	TNFRSF13C
Edem1	EDEM1
Ccdc134	CCDC134
Mei1	MEI1
Zdhhc14	ZDHHC14
Agtr2	AGTR2
Cst7	CST7
Cntn6	CNTN6
Ppp2r2a	PPP2R2A
Pnma2	PNMA2
Shq1	SHQ1
Csnka2ip	CSNKA2IP
Uba3	UBA3
Arl13b	ARL13B
Cbx7	CBX7
Fam19a4	FAM19A4
Usp9x	USP9X
Gpr15	GPR15
Fgd5	FGD5
Prss55	PRSS55
Ints6	INTS6
Lgals1	LGALS1
Sacs	SACS
Il2rb	IL2RB
Kctd17	KCTD17
Mgll	MGLL
Cds2	CDS2
Apol10b	APOL2
Zdhhc20	ZDHHC20
Xpo4	XPO4
Il17d	IL17D
Ap5s1	AP5S1
Cenpb	CENPB
Shroom4	SHROOM4
Larp4	LARP4
Ddrgk1	DDRGK1
Nr2f2	NR2F2
Noto	NOTO
Pced1a	PCED1A
Psme1	PSME1
Cd86	CD86
Tet3	TET3
Tlx2	TLX2
Htra2	HTRA2
Dok1	DOK1
Mapk15	MAPK15
Zfp148	ZNF148
Sh2d6	SH2D6
Mmp14	MMP14
Olfr1513	OR10G3
Chd8	CHD8
Bdh1	BDH1
Chrac1	CHRAC1
Rnase13	RNASE13
Tmem44	TMEM44
Cep152	CEP152
Rnase12	RNASE12
Hrasls	HRASLS
Gmnc	GMNC
Mageb16	MAGEB16
Fam13a	FAM13A
Mcc	MCC
Masp1	MASP1
Slc44a5	SLC44A5
Rabggtb	RABGGTB
Gch1	GCH1
Calcoco2	CALCOCO2
Zzz3	ZZZ3
Itgb1	ITGB1
Osbpl7	OSBPL7
Aard	AARD
Gng5	GNG5
Tmem87a	TMEM87A
Yeats2	YEATS2
Sybu	SYBU
Pla2g4e	PLA2G4E
Arvcf	ARVCF
Gbp5	GBP5
Btd	BTD
Ncald	NCALD
Rpl7a-ps3	RPL7A
Adh7	ADH7
Zfyve19	ZFYVE19
Dnajb14	DNAJB14
Sema3g	SEMA3G
Ube2l3	UBE2L3
Nt5dc2	NT5DC2
Bmf	BMF
March6	MARCH6
Slc37a3	SLC37A3
Sgms2	SGMS2
Trio	TRIO
Gjd2	GJD2
Efcab1	EFCAB1
Myh11	MYH11
Drosha	DROSHA
Marf1	KIAA0430
Erc2	ERC2
Dytn	DYTN
Muc15	MUC15
Rai14	RAI14
Usp53	USP53
Pax6	PAX6
Utp3	UTP3
Stk33	STK33
Rogdi	ROGDI
4930451G09Rik	C16ORF71
Fyb	FYB
Cdc14a	CDC14A
Myoz1	MYOZ1
Gpr88	GPR88
Ehf	EHF
Calu	CALU
Fam71f1	FAM71F1
Grm8	GRM8
B230118H07Rik	C11ORF74
Atp5g1	ATP5G1
Nr1d2	NR1D2
Tmem167b	TMEM167B
Sars	SARS
Trp53i11	TP53I11
Celsr2	CELSR2
Cry2	CRY2
Psrc1	PSRC1
Mybphl	MYBPHL
Ptprz1	PTPRZ1
Psma5	PSMA5
Il3ra	IL3RA
Atxn7l1	ATXN7L1
Cttnbp2	CTTNBP2
Harbi1	HARBI1
Arhgap1	ARHGAP1
Kcna10	KCNA10
Phf14	PHF14
Rap1a	RAP1A
Tac1	TAC1
Ddx20	DDX20
Kbtbd4	KBTBD4
Syt6	SYT6
Olfr1143	OLFR1143
Olfr152	OR5I1
Ampd1	AMPD1
Slc43a3	SLC43A3
Ypel4	YPEL4
Hmgcs2	HMGCS2
Pde1a	PDE1A
Acp6	ACP6
Gja5	GJA5
Zfp385b	ZNF385B
Hist2h2ac	HIST2H2AC
Rprd2	RPRD2
Arnt	ARNT
Scrn3	SCRN3
Sp9	SP9
Gm128	C1ORF56
Sema6c	SEMA6C
Zak	ZAK
Pgap3	PGAP3
Zrsr2	ZRSR2
Mettl8	METTL8
Ssb	SSB
Cobll1	COBLL1
Baz2b	BAZ2B
Clk2	CLK2
Ash1l	ASH1L
Dap3	DAP3
Ermn	ERMN
Syt11	SYT11
Bcan	BCAN
Nes	NES
Fcrls	FCRLS
Arpc5l	ARPC5L
Olfr366	OLFR366
Fhdc1	FHDC1
Map9	MAP9
Zbtb34	ZBTB34
Slitrk3	SLITRK3
Rraga	RRAGA
Phyhd1	PHYHD1
Frem2	FREM2
Urm1	URM1
Rapgef1	RAPGEF1
Slc25a31	SLC25A31
Ddx3y	DDX3Y
Arl15	ARL15
Adamtsl2	ADAMTSL2
Mfn1	MFN1
Slc7a14	SLC7A14
Camsap1	CAMSAP1
Prnp	PRNP
Insr	INSR
Cdk7	CDK7
Pde7a	PDE7A
Lrrcc1	LRRCC1
Sumo1	SUMO1
Arsb	ARSB
Cubn	CUBN
Nr2f1	NR2F1
Fam172a	FAM172A
Ttc37	TTC37
Zdhhc11	ZDHHC11
Srd5a1	SRD5A1
Cpped1	CPPED1
Cntnap3	CNTNAP3
Gkap1	GKAP1
Klhl3	KLHL3
Atxn1	ATXN1
Lrrtm2	LRRTM2
Snrnp48	SNRNP48
Gpr31b	GPR31
Dusp22	DUSP22
Hist1h2al	HIST2H2AA4
Tshz1	TSHZ1
Atp9b	ATP9B
Slc14a1	SLC14A1
Larp4b	LARP4B
Akr1e1	AKR1E2
Mapk4	MAPK4
Mex3c	MEX3C
Net1	NET1
Hmgxb3	HMGXB3
Ctxn3	CTXN3
Prdm6	PRDM6
Sh3bp5	SH3BP5
Polr3gl	POLR3GL
Kctd16	KCTD16
Pcdhga9	PCDHGA9
Pik3c3	PIK3C3
Asxl2	ASXL2
Rbms2	RBMS2
Lama3	LAMA3
Klhl25	KLHL25
Stat6	STAT6
Mcidas	MCIN
Usp14	USP14
Epc2	EPC2
Piezo1	PIEZO1
Msrb3	MSRB3
Rnpc3	RNPC3
Col11a1	COL11A1
Ptprb	PTPRB
Tmem19	TMEM19
Kcnc2	KCNC2
Caps2	CAPS2
Nr2c1	NR2C1
Ccdc38	CCDC38
Scyl2	SCYL2
Tdg	TDG
Cep170b	KIAA0284
Gng7	GNG7
Mbd3	MBD3
Zfp750	ZNF750
Dazap1	DAZAP1
Plppr3	LPPR3
Tspear	TSPEAR
Enpp7	ENPP7
Usp36	USP36
2610028H24Rik	C21ORF58
Ccdc153	CCDC153
Tfam	TFAM
Slc16a5	SLC16A5
Dna2	DNA2
Vps26a	VPS26A
Adamts14	ADAMTS14
Sgpl1	SGPL1
Smurf2	SMURF2
Slc16a10	SLC16A10
Ccdc43	CCDC43
Marcks	MARCKS
Mroh1	HEATR7A
Nkain2	NKAIN2
Pcgf1	PCGF1
Aup1	AUP1
Rspo3	RSPO3
9330159F19Rik	KIAA0408
Soga3	SOGA3
Lama2	LAMA2
St3gal1	ST3GAL1
Taar5	TAAR5
Taar4	TAAR4
Stat3	STAT3
Nt5c3b	NT5C3L
Cdc6	CDC6
Arid1b	ARID1B
Ube2u	UBE2U
Dlx3	DLX3
Tmem100	TMEM100
Msi2	MSI2
Mtmr4	MTMR4
Tlcd1	TLCD1
Fbp1	FBP1
Taok3	TAOK3
Cacng7	CACNG7
Cluh	KIAA0664
Spata22	SPATA22
Gm4952	GM4952
Camkk1	CAMKK1
Ahnak	AHNAK
Sat2	SAT2
Chd3	CHD3
Cntrob	CNTROB
Myh7b	MYH7B
Sco1	SCO1
Fam83g	FAM83G
Slc47a2	SLC47A2
Capn9	CAPN9
Taf5l	TAF5L
Rab4b	RAB4B
Gas8	GAS8
Pabpn1l	PABPN1L
Trim11	TRIM11
Taf1c	TAF1C
Dnaaf1	DNAAF1
Medag	MEDAG
Adamts18	ADAMTS18
Clk4	CLK4
Tbc1d9b	TBC1D9B
Atxn1l	ATXN1L
Cyfip2	CYFIP2
Smco1	C3ORF43
Spdl1	SPDL1
Fam196b	FAM196B
Dock2	DOCK2
Pard6a	PARD6A
Fam96b	FAM96B
Bean1	BEAN1
Cdh8	CDH8
Adgrg1	GPR56
Peli1	PELI1
Sertad2	SERTAD2
Spred2	SPRED2
Irx3	IRX3
Grb10	GRB10
4933402J07Rik	C16ORF78
H2afv	H2AFV
Wdr83	WDR83
Tnpo2	TNPO2
Nefh	NEFH
4930432K21Rik	C19ORF57
Podnl1	PODNL1
Ccdc157	CCDC157
Morc2a	MORC2
Nwd1	NWD1
Ano8	ANO8
Ell	ELL
Kxd1	KXD1
Sugp2	SUGP2
Nat2	NAT1
Spock3	SPOCK3
Csprs	CSPRS
Casp3	CASP3
Fam149a	FAM149A
Slc22a14	SLC22A14
Nat6	NAT6
Cep63	CEP63
Slc35g2	SLC35G2
Sox14	SOX14
Cep70	CEP70
Zbtb38	ZBTB38
Pls1	PLS1
Cep162	KIAA1009
Filip1	FILIP1
Cd109	CD109
Arhgef40	ARHGEF40
Rfx7	RFX7
Fam219b	FAM219B
Trcg1	TRCG1
Chrna5	CHRNA5
Zbtb16	ZBTB16
Nxpe4	NXPE4
Scn2b	SCN2B
Arhgap42	ARHGAP42
Birc2	BIRC2
Rnf213	RNF213
Tmem235	TMEM235
Qrich2	QRICH2
Tmem94	KIAA0195
Trim80	TRIM47L
Cdc27	CDC27
Sppl2c	SPPL2C
Crhr1	CRHR1
Fzd2	FZD2
Fbxo47	FBXO47
Gpr179	GPR179
Supt4a	SUPT4H1
Hsf5	HSF5
Ccnd1	CCND1
Arsj	ARSJ
Pwwp2b	PWWP2B
D7Ertd443e	C10ORF90
Abhd15	ABHD15
Fam57a	FAM57A
Plpp4	PPAPDC1A
Prss36	PRSS36
Tbx6	TBX6
Xaf1	XAF1
Nlrp1b	NLRP1B
Tnrc6a	TNRC6A
Slc16a11	SLC16A11
Tmem256	C17ORF61
Kdm6b	KDM6B
Tmem41b	TMEM41B
Hs3st3b1	HS3ST3B1
Olfr2	OR6A2
Olfr558	OR51E1
Art5	ART5
Il18bp	IL18BP
Folr2	FOLR2
Fam160a1	FAM160A1
Rnf187	RNF187
Serpinh1	SERPINH1
Tsku	TSKU
Sis	SI
Helz2	HELZ2
Mesdc2	MESDC2
Mesdc1	MESDC1
Slc17a9	SLC17A9
Ccl26	CCL26
Cldn3	CLDN3
Fam217b	FAM217B
Chchd2	CHCHD2
Nhp2l1	NHP2L1
Wdr64	WDR64
Ankrd50	ANKRD50
Fcrl6	FCRL6
Rgma	RGMA
Cdc25a	CDC25A
Lrrc43	LRRC43
Fcrlb	FCRLB
Mkrn3	MKRN3
Wfdc10	WFDC10A
Wfdc6b	WFDC6B
Ccdc190	C1ORF110
Wfdc8	WFDC8
Car1	CA1
Mrgprx1	MRGPRX1
Uevld	UEVLD
Spaca4	SPACA4
Hes3	HES3
Tchp	TCHP
Id1	ID1
Gpr157	GPR157
