pleurodeles	eggnog
NDUFA8	NDUFA8
VSNL1	VSNL1
NHP2L1	NHP2L1
RPL7	RPL7
UBAP1L	UBAP1L
SST	SST
EEF1G	EEF1G
OPA3	OPA3
COX4I1	COX4I1
RPL13	RPL13
HMGN3	HMGN3
POMP	POMP
HBB	HBB
ATP5G3	ATP5G3
ATP5D	ATP5D
NPFF	NPFF
TBCA	TBCA
MIF	MIF
DPY30	DPY30
S100A10	S100A10
ATP5H	ATP5H
COX5B	COX5B
COX6A1	COX6A1
RPL19	RPL19
RPS15	RPS15
COX7A2	COX7A2
RPL35	RPL35
TTLL5	TTLL5
SLC25A53	SLC25A53
PFAS	PFAS
MUM1L1	MUM1L1
MAP1S	MAP1S
CLEC18A	CLEC18A
MICAL1	MICAL1
MYL6B	MYL6B
PKP3	PKP3
PGAP2	PGAP2
DNASE1L3	DNASE1L3
S1PR5	S1PR5
KIAA2018	KIAA2018
TNS4	TNS4
PIGZ	PIGZ
LYPD1	LYPD1
PRR5L	PRR5L
NEXN	NEXN
NPR2	NPR2
SLC5A10	SLC5A10
SLC22A18	SLC22A18
IGSF5	IGSF5
ADAM33	ADAM33
PDZD11	PDZD11
TMEM50A	TMEM50A
QRICH2	QRICH2
LZTS2	LZTS2
FBXO31	FBXO31
TTC7A	TTC7A
MMP15	MMP15
C4A	C4A
RREB1	RREB1
C8orf46	C8orf46
MYOM3	MYOM3
NUP210	NUP210
GCH1	GCH1
KLHL18	KLHL18
PRRT3	PRRT3
SSH2	SSH2
CCNF	CCNF
CCDC102A	CCDC102A
FLT4	FLT4
LRRC3	LRRC3
MITF	MITF
EFNA3	EFNA3
AS3MT	AS3MT
GRB7	GRB7
MAML3	MAML3
PLCG2	PLCG2
MTPN	MTPN
ZBTB43	ZBTB43
C3	C3
MASTL	MASTL
UROS	UROS
FATE1	FATE1
ADAMTS16	ADAMTS16
OR52R1	OR52R1
ZFAT	ZFAT
ADIPOR2	ADIPOR2
PRELID2	PRELID2
C3orf70	C3orf70
GLI1	GLI1
REL	REL
GAREML	GAREML
PAQR9	PAQR9
TLR1	TLR1
RNPEPL1	RNPEPL1
NDUFA5	NDUFA5
RASSF7	RASSF7
FAM184B	FAM184B
CCDC160	CCDC160
FRMPD2	FRMPD2
PKP1	PKP1
STK38L	STK38L
MTUS2	MTUS2
COBLL1	COBLL1
BUB1	BUB1
PLCE1	PLCE1
CBS	CBS
KCTD11	KCTD11
MYO7A	MYO7A
ZFAND1	ZFAND1
C2orf76	C2orf76
C1QTNF2	C1QTNF2
ADAMTS17	ADAMTS17
TBC1D13	TBC1D13
HAVCR1	HAVCR1
PYROXD1	PYROXD1
TMOD1	TMOD1
ROBO4	ROBO4
P2RX3	P2RX3
ITGA11	ITGA11
POF1B	POF1B
KIF7	KIF7
NUDT16	NUDT16
PALB2	PALB2
IFNAR2	IFNAR2
RNF141	RNF141
MAP3K19	MAP3K19
MDM4	MDM4
VDR	VDR
KIAA1731	KIAA1731
FNDC1	FNDC1
F2RL3	F2RL3
PXN	PXN
MYO19	MYO19
PINLYP	PINLYP
RFX2	RFX2
NEU3	NEU3
ZSWIM4	ZSWIM4
nebl	nebl
C3orf80	C3orf80
RNF151	RNF151
CCDC185	CCDC185
cdc42ep2	cdc42ep2
GK5	GK5
TMPRSS2	TMPRSS2
CERS2	CERS2
ROBO3	ROBO3
STARD8	STARD8
ADAMTS13	ADAMTS13
DOT1L	DOT1L
UBXN2A	UBXN2A
CEP135	CEP135
MFSD13B	MFSD13B
HAAO	HAAO
GPR1	GPR1
KCNK2	KCNK2
ANO8	ANO8
AGBL3	AGBL3
LSMEM1	LSMEM1
DBF4	DBF4
LMCD1	LMCD1
C6orf132	C6orf132
CMTM8	CMTM8
STKLD1	STKLD1
MMD2	MMD2
CATIP	CATIP
PKHD1	PKHD1
LTK	ltk
FAM180A	FAM180A
ABRA	ABRA
MLH3	MLH3
PIK3C2G	PIK3C2G
BBS12	BBS12
FXYD1	FXYD1
SRL	SRL
HSD17B8	HSD17B8
DOCK2	DOCK2
ATXN1L	ATXN1L
FLRT1	FLRT1
SLC25A19	SLC25A19
CLEC17A	CLEC17A
TDRD10	TDRD10
LRIT1	LRIT1
MPC2	MPC2
IQANK1	IQANK1
INSC	INSC
RAB22A	RAB22A
MYL12A	MYL12A
PAQR4	PAQR4
AMOT	AMOT
ERBB2	ERBB2
THY1	THY1
FBXL19	FBXL19
MEFV	MEFV
LAMA2	LAMA2
NLGN3	NLGN3
MAP3K8	MAP3K8
RNASEH2B	RNASEH2B
LIN54	LIN54
IGDCC4	IGDCC4
SMTN	SMTN
ZDHHC21	ZDHHC21
CLN3	CLN3
MED11	MED11
CCDC175	CCDC175
ZNF366	ZNF366
MAVS	MAVS
SPATA6L	SPATA6L
CTC1	CTC1
SCN9A	Scn9a
NUDT18	NUDT18
CREB3	CREB3
FLT3	FLT3
CCDC125	CCDC125
TAZ	TAZ
FAM98C	FAM98C
ABCC2	ABCC2
C19orf70	C19orf70
EMR1	EMR1
TTC9C	TTC9C
L1TD1	L1TD1
FAM189B	FAM189B
GJB3	GJB3
DHRS9	DHRS9
ORMDL3	ORMDL3
GPR161	GPR161
PIEZO1	PIEZO1
C15orf26	C15orf26
CD82	CD82
KNTC1	KNTC1
GALNT5	GALNT5
ESYT3	ESYT3
TRPV1	TRPV1
NCAPD3	NCAPD3
PLEKHG4B	PLEKHG4B
ASXL3	ASXL3
PRKD3	PRKD3
ANPEP	ANPEP
NDUFB2	NDUFB2
fhl5	fhl5
MEGF11	MEGF11
ESAM	ESAM
PFN4	PFN4
KCNJ8	KCNJ8
FANCA	FANCA
SMTNL1	SMTNL1
C19orf35	C19orf35
NEK10	NEK10
SLC35G1	SLC35G1
EFCAB5	EFCAB5
JAK3	JAK3
PER2	PER2
MAST2	MAST2
C3orf67	C3orf67
TRIM27	TRIM27
SEMA3G	SEMA3G
DNAJC5G	DNAJC5G
C11orf63	C11orf63
GPR132	GPR132
CD300LD	CD300LD
Nrf1	Nrf1
KIF4A	KIF4A
GDNF	GDNF
KCNH4	KCNH4
RNF225	RNF225
QTRTD1	QTRTD1
TUFT1	TUFT1
TAF1C	TAF1C
GAR1	GAR1
PCDHA6	PCDHA8
FRMD1	FRMD1
FAM98B	FAM98B
LRRC18	LRRC18
SLC25A26	SLC25A26
EFNA4	EFNA4
PMFBP1	PMFBP1
SDCCAG8	SDCCAG8
R3HDML	R3HDML
OVCA2	OVCA2
NUBP2	NUBP2
PRSS27	PRSS27
ZDHHC15	ZDHHC15
top3b	top3b
MYRFL	MYRFL
KIAA0753	KIAA0753
VWDE	VWDE
SLC27A2	SLC27A2
DENND1C	DENND1C
HSD17B14	HSD17B14
MFSD11	MFSD11
ZFPM1	ZFPM1
GABRR1	GABRR1
TMCO4	TMCO4
SLC9A9	SLC9A9
DNAH6	DNAH6
GPR142	GPR142
DOK2	DOK2
IKZF4	IKZF4
CHRNA2	CHRNA2
TP73	TP73
VASN	VASN
ARSG	ARSG
PRSS35	PRSS35
SLITRK3	SLITRK3
LRP11	LRP11
DPM3	DPM3
CARD8	CARD8
HIC2	HIC2
FUT4	FUT4
UFD1L	UFD1L
KIAA1024L	KIAA1024L
ALS2CL	ALS2CL
SNRPC	SNRPC
IGF1	IGF1
Gsta4	GSTA4
HSD3B1	hsd3b1
TJAP1	TJAP1
HAPLN3	HAPLN3
APBB3	APBB3
MYBPH	MYBPH
DMRTA1	DMRTA1
TAF4	TAF4
GPR124	GPR124
SCARF2	SCARF2
TBX18	TBX18
GIPR	GIPR
RCHY1	RCHY1
ABCB10	ABCB10
TANC2	TANC2
AOC3	AOC3
STAB1	STAB1
SCRIB	SCRIB
HOXA2	HOXA2
CRYBG3	CRYBG3
ATR	ATR
RANGRF	RANGRF
BHLHA15	BHLHA15
PEX6	PEX6
AGTR2	AGTR2
C8orf48	C8orf48
CNKSR3	CNKSR3
POU3F1	POU3F1
ZBTB46	ZBTB46
MDFI	MDFI
MYOC	MYOC
ARMC3	ARMC3
SSH1	SSH1
TNFSF10	TNFSF10
LMOD1	LMOD1
ARHGAP31	ARHGAP31
STC2	STC2
DNAH12	DNAH12
C12orf55	C12orf55
FBLN7	FBLN7
MYO5B	MYO5B
TMEM104	TMEM104
NCOA1	NCOA1
ARHGAP42	ARHGAP42
CCRN4L	CCRN4L
FOXN4	FOXN4
TUT1	TUT1
MUSK	MUSK
ARHGAP8	ARHGAP8
GPR150	GPR150
SASH1	SASH1
CD6	CD6
LRRC48	LRRC48
WDR63	WDR63
SERINC2	SERINC2
ABCB1	ABCB1
BLK	BLK
CASP10	CASP10
C2orf43	C2orf43
CTNNBIP1	CTNNBIP1
FAM3A	FAM3A
CYP27C1	CYP27C1
ULK1	ULK1
WT1	WT1
SYNGAP1	SYNGAP1
SOST	SOST
DYSF	DYSF
SEL1L3	SEL1L3
CD40LG	CD40LG
CPM	CPM
NAT8	NAT8
LRRK2	LRRK2
VSIG1	VSIG1
ZNF474	ZNF474
WNT10B	WNT10B
SYNM	SYNM
NTRK1	NTRK1
FOXM1	FOXM1
MTHFD2L	MTHFD2L
TMEM235	TMEM235
GCNT3	GCNT3
DLK2	DLK2
GJD3	GJD3
PBDC1	PBDC1
CD226	CD226
AKNA	AKNA
PMM1	PMM1
ULK4	ULK4
GZMM	GZMM
TMEM129	TMEM129
ABCD4	ABCD4
FANCI	FANCI
KIAA1377	KIAA1377
GCKR	GCKR
NR2C2	NR2C2
Hyal6	Hyal6
SIX4	SIX4
ATG12	ATG12
GEN1	GEN1
CCNH	CCNH
NOXO1	NOXO1
MRS2	MRS2
CD53	CD53
CDR2L	CDR2L
WDHD1	WDHD1
PRPS1	prps1
C3orf52	C3orf52
CIDEC	CIDEC
SEC16B	SEC16B
TCF7L2	TCF7L2
KIAA1407	KIAA1407
ARHGAP36	ARHGAP36
KCNK18	KCNK18
COL11A1	COL11A1
OTOP1	OTOP1
OAZ1	OAZ1
GPA33	GPA33
LEFTY2	LEFTY1
DIAPH1	DIAPH1
ST14	ST14
BTBD7	BTBD7
UBE2F	UBE2F
ODF3L2	ODF3L2
MAT1A	MAT1A
GNPNAT1	GNPNAT1
ZNF821	ZNF821
KLHL38	KLHL38
FOXJ1	FOXJ1
DHH	DHH
ZNF516	ZNF516
CCL20	CCL20
OIT3	OIT3
AMPD1	AMPD1
GSTM3	GSTM3
OXT	OXT
MCHR1	MCHR1
KIF12	KIF12
TCEB2	TCEB2
TRPA1	TRPA1
LCAT	LCAT
KRT20	KRT20
SFTPC	SFTPC
PGA5	PGA5
kiss2	kiss2
TFF2	TFF2
RPS27	RPS27
OTOR	OTOR
ATP4A	ATP4A
GPR88	GPR88
MYL12B	MYL12B
GLP2R	GLP2R
UQCRQ	UQCRQ
HCRT	HCRT
SF3B5	SF3B5
FERD3L	FERD3L
SHFM1	SHFM1
PLA2G1B	PLA2G1B
AQP2	AQP2
MEP1B	MEP1B
B4GALT6	B4GALT6
LYPD2	LYPD2
MPP4	MPP4
CLDN18	CLDN18
LYZ	LYZ
SNTA1	SNTA1
UCN3	UCN3
gnat1	gnat1
RIPPLY1	RIPPLY1
NPVF	NPVF
OTOG	OTOG
TRPV3	TRPV3
TMA7	TMA7
TBX19	TBX19
CHRNB3	CHRNB3
TNFSF14	TNFSF14
SPINK1	SPINK1
RAB38	RAB38
DCXR	DCXR
RPS8	RPS8
FKBP2	FKBP2
GNRH2	gnrh2
CLUL1	CLUL1
ACVR1C	ACVR1C
GLIS1	GLIS1
FGF20	FGF20
CHCHD10	CHCHD10
GAPDHS	GAPDHS
C2orf73	C2orf73
CRYAB	CRYAB
MED30	MED30
FRMPD1	FRMPD1
ACBD7	ACBD7
GPR156	GPR156
CA6	CA6
TMEM212	TMEM212
TECTB	TECTB
OTOP2	OTOP2
GCNT7	GCNT7
PITX2	PITX2
CNTD1	CNTD1
TSPAN8	TSPAN8
rbp4l	rbp4l
USH2A	USH2A
SEC61B	SEC61B
CNGA4	CNGA4
CNR2	CNR2
F2	F2
RPL23A	RPL23A
SLIRP	SLIRP
PP2D1	PP2D1
EPYC	EPYC
COX6C	COX6C
ANKRD45	ANKRD45
SLC2A5	SLC2A5
SERP1	SERP1
TMEM265	TMEM265
ADAD2	ADAD2
GABRB1	GABRB1
SAMD7	SAMD7
CHCHD5	CHCHD5
LPXN	LPXN
ANKRD61	ANKRD61
FGF4	FGF4
RPS28	rps28
ZC2HC1B	ZC2HC1B
KIF2C	KIF2C
SFI1	SFI1
OLFM4	OLFM4
TTC29	TTC29
PDILT	PDILT
MYL1	MYL1
NDUFC1	NDUFC1
MYOZ2	MYOZ2
IL6	IL6
NWD1	NWD1
KCNJ15	KCNJ15
ZCCHC3	ZCCHC3
SLC23A1	SLC23A1
P2RY11	P2RY11
YBX2	YBX2
HOXB2	HOXB2
COMMD1	COMMD1
C3orf49	C3orf49
PDZK1	PDZK1
UOX	UOX
PI16	PI16
C12orf45	C12orf45
MANSC1	MANSC1
HABP2	HABP2
MRPL14	MRPL14
EVA1A	EVA1A
ATP6V1C2	ATP6V1C2
CSTF2T	CSTF2T
PPA2	PPA2
urad	URAD
C20orf24	C20orf24
ERMN	ERMN
TFEC	TFEC
CNBD2	CNBD2
NR2C2AP	NR2C2AP
HYPK	HYPK
TRIM50	TRIM50
LIF	LIF
WDR62	WDR62
TCP10	TCP10
CEP57	CEP57
MYO15A	MYO15A
MBL2	MBL2
OSR2	OSR2
CTSE	CTSE
FBXO24	FBXO24
TNNT3	TNNT3
PPIL3	PPIL3
SKA1	SKA1
PDF	PDF
FAM3B	FAM3B
TBX22	TBX22
GLRX	GLRX
FOXE1	FOXE1
MLN	MLN
DEPDC1B	DEPDC1B
NME8	NME8
CECR1	CECR1
MRPS36	MRPS36
BMPER	BMPER
CCDC34	CCDC34
SYCE2	SYCE2
FEZF1	FEZF1
MISP	MISP
EDARADD	EDARADD
ANXA9	ANXA9
GJD4	GJD4
NKX6-3	NKX6-3
HAND1	HAND1
PKD1L3	PKD1L3
DOCK6	DOCK6
SLC9A1	SLC9A1
S100P	S100P
SLC9C1	SLC9C2
POP5	POP5
ARHGAP44	ARHGAP44
NME7	NME7
SBK2	SBK2
CHRNA6	CHRNA6
REC8	REC8
C9orf9	C9orf9
PRSS21	PRSS21
dnah7	DNAH7
MYOCD	MYOCD
PKD1L1	PKD1L1
OVCH2	OVCH2
P2RX2	P2RX2
BTC	BTC
HCN2	HCN2
BMP10	BMP10
MORC4	MORC4
SLC34A2	SLC34A2
MFAP5	MFAP5
ECM2	ECM2
PAX8	PAX8
AIM1L	AIM1L
DMC1	DMC1
CRYBA1	CRYBA1
FOXA1	FOXA1
FOXE3	FOXE3
FOXA2	FOXA2
SCN4A	SCN4A
SLC25A4	SLC25A4
KY	KY
LEKR1	LEKR1
AP5S1	AP5S1
COX3	COX3
CTRB1	CTRB1
CDPF1	CDPF1
SYCP3	SYCP3
HYDIN	HYDIN
BEND5	BEND5
SNRPG	SNRPG
C9orf85	C9orf85
CSRP2	CSRP2
CARHSP1	CARHSP1
MYO7B	MYO7B
CMPK1	CMPK1
ACTA1	ACTA1
CENPO	CENPO
PLG	PLG
DAZL	DAZL
C10orf67	C10orf67
VASP	VASP
PRDM9	PRDM9
IRX4	IRX4
IRX6	IRX6
MYL6	MYL6
SSNA1	SSNA1
DEPDC7	DEPDC7
ADPRH	ADPRH
SH3BP2	SH3BP2
UBA52	UBA52
TDRD5	TDRD5
BCL3	BCL3
C15orf43	C15orf43
POLR2G	POLR2G
HOXA7	HOXA7
LRMP	LRMP
SLC52A2	SLC52A2
G6PC	G6PC
MRPL36	MRPL36
LIPE	LIPE
ITIH3	ITIH3
MUL1	MUL1
C9orf24	C9orf24
FABP1	FABP1
RPS18	RPS18
SPDYC	SPDYC
GYPC	GYPC
GPX2	GPX2
SPATC1	SPATC1
NAT6	NAT6
CCDC152	CCDC152
TBX6	TBX6
LTA	LTA
C11orf49	C11orf49
AOC1	AOC1
FSD2	FSD2
PTGES	PTGES
RPL30	RPL30
C1orf146	C1orf146
NFATC4	NFATC4
Cyp2ab1	Cyp2ab1
C1QTNF3	C1QTNF3
MYO3A	MYO3A
PDE10A	PDE10A
ANO9	ANO9
ACR	ACR
FBP2	FBP2
RS1	RS1
STEAP1	STEAP1
ANXA5	ANXA5
NKX2-4	NKX2-4
HOXD11	HOXD11
FHL3	FHL3
ABLIM3	ABLIM3
GLTSCR1	GLTSCR1
ZC3HAV1L	ZC3HAV1L
U2AF1	U2AF1
CELA1	CELA1
NOL7	NOL7
PUSL1	PUSL1
ZP2	ZP2
ANXA10	ANXA10
PRIM1	PRIM1
ZP4	ZP4
ASTL	ASTL
LGALS3	LGALS3
CSRP3	CSRP3
H1FOO	H1FOO
PFDN2	PFDN2
HAUS1	HAUS1
TCN1	TCN1
CTRC	CTRC
TMEM144	TMEM144
CISD1	CISD1
SLC39A14	SLC39A14
ZFHX3	ZFHX3
IQSEC2	IQSEC2
RPS21	RPS21
FAU	FAU
MITD1	MITD1
XRCC3	XRCC3
PPT2	PPT2
F9	F9
TTBK1	TTBK1
CDH17	CDH17
UBE2T	UBE2T
MAP2K5	MAP2K5
ARHGEF33	ARHGEF33
sult1a4	sult1a4
TFAP2B	TFAP2B
KLRG2	KLRG2
RBP2	RBP2
MYRF	MYRF
IL17RE	IL17RE
HIGD1C	HIGD1C
TNFRSF10A	TNFRSF10B
LRAT	LRAT
PDGFRL	PDGFRL
NKX3-1	NKX3-1
FOXC2	FOXC2
ESCO2	ESCO2
GPAT2	GPAT2
PNO1	PNO1
AMBP	AMBP
SLCO2A1	SLCO2A1
CYP27B1	CYP27B1
TRIL	TRIL
PACSIN3	PACSIN3
RPS11	RPS11
C1QL2	C1QL2
PLA2G4B	PLA2G4B
CRIP1	CRIP1
casq1	CASQ1
MYH7B	MYH7B
KRT13	KRT13
SMIM20	SMIM20
C15orf40	C15orf40
TUBA8	TUBA8
SCO2	SCO2
CPA1	CPA1
SPA17	SPA17
ESRRA	ESRRA
LECT2	LECT2
MUC2	MUC2
NXPE1	NXPE1
SYCP1	SYCP1
SPDEF	SPDEF
PNPLA4	PNPLA4
TDRD12	TDRD12
ERMAP	ERMAP
SH3TC2	SH3TC2
CACNA1F	CACNA1F
CCNB1	CCNB1
SMIM8	SMIM8
ARAP2	ARAP2
PNLIPRP2	PNLIPRP2
FBRSL1	FBRSL1
TMEM14C	tmem14c
TTLL8	TTLL8
TP63	TP63
ONECUT3	ONECUT3
ONECUT1	ONECUT1
ONECUT2	ONECUT2
BCL2L11	BCL2L11
C16orf52	C16orf52
CASQ2	CASQ2
DPP7	DPP7
RLN3	RLN3
SLA2	SLA2
CD69	CD69
FER1L4	FER1L4
ESPN	ESPN
CRYAA	CRYAA
CPA5	CPA5
TNNI3	TNNI3
KNG1	KNG1
MARVELD3	MARVELD3
PLCB2	PLCB2
GRB10	GRB10
GADD45A	GADD45A
LYRM2	LYRM2
CCDC172	CCDC172
IZUMO4	IZUMO4
MCMDC2	MCMDC2
ETV3L	ETV3L
TSPAN1	TSPAN1
AKAP10	AKAP10
FAM227B	FAM227B
DBH	DBH
PCDHB2	PCDHB4
SLC6A5	SLC6A5
TCTN3	TCTN3
ATP6V0A4	ATP6V0A4
TSPAN32	TSPAN32
CDK9	CDK9
GSTO1	GSTO1
ASGR1	ASGR1
CTSG	CTSG
FAM166A	FAM166A
uba52	uba52
FABP2	FABP2
IL17B	IL17B
AIPL1	AIPL1
TMPRSS13	TMPRSS13
BCAS4	BCAS4
SWT1	SWT1
SMPX	SMPX
VSIG10	VSIG10
APOA4	APOA4
CIC	CIC
TRIM55	TRIM55
TRIM63	TRIM63
MYH4	MYH4
TMC1	TMC1
GRHL1	GRHL1
SGK2	SGK2
DMBT1	DMBT1
UNC13D	UNC13D
C6orf58	C6orf58
HOXB13	HOXB13
S100A13	S100A13
B4GALNT3	B4GALNT3
RPL22	RPL22
S100A1	S100A1
ALPK2	ALPK2
CELSR3	CELSR3
GGTA1	GGTA1
TNNT1	TNNT1
PKDCC	PKDCC
CCNB2	CCNB2
PLA2G7	PLA2G7
SUGCT	SUGCT
PRKD1	PRKD1
ATP5L	ATP5L
PTGR2	PTGR2
MTX3	MTX3
DSG2	DSG2
SERPINB1	SERPINB1
C16orf96	C16orf96
BRK1	BRK1
TNNT2	TNNT2
ARL14EPL	ARL14EPL
MANBAL	MANBAL
RPS14	RPS14
ST3GAL4	ST3GAL4
SSPO	SSPO
HPSE2	HPSE2
B3GNT7	B3GNT7
PTTG1	PTTG1
RUNX3	RUNX3
CFAP36	CFAP36
TXNDC8	TXNDC8
PSMA8	PSMA8
IDNK	IDNK
ATP5J2	ATP5J2
LMOD3	LMOD3
KCNK16	KCNK16
ORAOV1	ORAOV1
SSR4	SSR4
EFCAB10	EFCAB10
SKOR1	SKOR1
ADPRHL1	ADPRHL1
ADAMTS9	ADAMTS9
RNF39	RNF39
MATK	MATK
PFDN5	PFDN5
ECT2L	ECT2L
CUNH8orf88	CUNH8orf88
MUC4	MUC4
NR6A1	NR6A1
C19orf52	C19orf52
muc3a	muc3a
PPARGC1B	PPARGC1B
MOCS3	MOCS3
HBG2	HBG
CCDC67	CCDC67
SMYD1	SMYD1
VMO1	VMO1
AFP	AFP
COLQ	COLQ
COL17A1	COL17A1
C8A	C8A
AANAT	AANAT
LGALS4	LGALS4
C14orf119	C14orf119
HMX2	HMX2
HMX1	HMX1
CBLB	CBLB
FAAH2	FAAH2
MOCOS	MOCOS
SOX12	SOX12
NFKBIZ	NFKBIZ
KIAA1522	KIAA1522
CECR2	CECR2
SIX5	SIX5
NEB	NEB
TNFSF13	TNFSF13
CLIC5	CLIC5
CYYR1	CYYR1
MYH13	MYH13
HDDC2	HDDC2
ZWINT	ZWINT
TJP3	TJP3
GLIPR1	GLIPR1
CASP1	CASP1
SBK3	SBK3
HOXB9	HOXB9
HOXC11	HOXC11
IGSF10	IGSF10
B4GALNT2	B4GALNT2
HEATR9	HEATR9
C6orf163	C6orf163
ATP1B4	ATP1B4
ISL2	ISL2
RPL7A	RPL7A
GTF2IRD2B	GTF2IRD2B
CCDC73	CCDC73
MMP20	MMP20
HNF4G	HNF4G
TMEM254	TMEM254
TFF3	TFF3
TNNC2	TNNC2
SNRPD2	SNRPD2
LIN28B	LIN28B
TAF6L	TAF6L
SIX3	SIX3
CST7	CST7
TMEM40	TMEM40
PON1	PON1
PGLYRP3	PGLYRP3
KIAA0101	KIAA0101
RCSD1	RCSD1
MYL7	MYL7
RAB23	RAB23
DCST1	DCST1
IL20RA	IL20RA
AGR3	AGR3
PPIC	PPIC
TRIOBP	TRIOBP
RAPGEF3	RAPGEF3
ERBB3	ERBB3
KDM6B	KDM6B
SNRPF	SNRPF
CTRL	CTRL
LINGO4	LINGO4
PRKAG3	PRKAG3
LAMB4	LAMB4
MRPS24	MRPS24
ADAD1	ADAD1
HSF4	HSF4
POLR3G	POLR3G
NPPB	NPPB
MYH3	MYH3
AMZ1	AMZ1
SHROOM4	SHROOM4
PTMA	PTMA
MYBPC3	MYBPC3
GRAMD1C	GRAMD1C
TLR5	TLR5
SMIM4	SMIM4
RPE	RPE
KIAA1324	KIAA1324
CHRND	CHRND
ALX4	ALX4
MSH5	MSH5
STAG3	STAG3
ITLN1	ITLN1
PPP2R3A	PPP2R3A
KCTD19	KCTD19
CAPN12	CAPN12
PTPRQ	PTPRQ
KRT4	KRT4
PLAC8	PLAC8
GPR116	GPR116
FBXO43	FBXO43
SPR	SPR
FAM115C	FAM115C
KCNJ14	KCNJ14
RGL2	RGL2
C11orf85	C11orf85
PRRX2	PRRX2
PTCH1	PTCH1
TYW3	TYW3
APOB	APOB
MSX1	MSX1
PVRL4	PVRL4
CPA2	CPA4
AADACL3	AADACL3
SCX	SCX
C15orf65	C15orf65
ugt1a1	UGT1A1
LHFPL4	LHFPL4
FNDC8	FNDC8
CORT	CORT
KRT10	KRT10
KRT16	KRT16
ARHGEF28	ARHGEF28
TEX11	TEX11
DSG4	DSG4
FAM195A	FAM195A
FAN1	FAN1
TEFM	TEFM
FAM177B	FAM177B
MAMSTR	MAMSTR
REC114	REC114
VIT	VIT
RAB11FIP1	RAB11FIP1
RAD52	RAD52
JOSD2	JOSD2
POLR3H	POLR3H
KRT73	KRT73
CPB2	CPB2
TRBV25-1	TRBV25-1
PABPC1L	PABPC1L
DCST2	DCST2
AGRP	AGRP
DND1	DND1
IL17RC	IL17RC
FANCD2	FANCD2
JPH2	JPH2
IRX5	IRX5
IRX2	IRX2
RPS9	RPS9
EN1	EN1
KLB	KLB
CACNG7	CACNG7
tmigd1	tmigd1
CAPRIN2	CAPRIN2
IGFBP1	IGFBP1
RBM11	RBM11
BCL6	BCL6
FTCD	FTCD
ITGA8	ITGA8
TENC1	TENC1
HAP1	HAP1
MRPL43	MRPL43
RUNX1	RUNX1
ANKLE1	ANKLE1
AGR2	AGR2
ABCA12	ABCA12
PRR29	PRR29
DNAH10	DNAH10
CDCP2	CDCP2
MRPL12	MRPL12
COL11A2	COL11A2
TRIB3	TRIB3
SDK2	SDK2
ASF1A	ASF1A
PI3	PI3
APOC3	APOC3
LEPR	LEPR
DCTD	DCTD
ITIH4	ITIH4
ZCWPW1	ZCWPW1
MYH2	MYH2
CAPN8	CAPN8
APOBEC2	APOBEC2
SLC26A1	SLC26A1
RPS13	RPS13
SLC22A1	SLC22A1
C8orf74	C8orf74
POLR2L	POLR2L
MINDY4B	MINDY4B
TMPRSS3	TMPRSS3
CCDC23	CCDC23
C17orf67	C17orf67
CCDC42	CCDC42
CRABP1	CRABP1
SMDT1	SMDT1
DNASE2B	DNASE2B
CPS1	CPS1
CDHR4	CDHR4
C11orf91	C11orf91
COX7C	COX7C
CTHRC1	CTHRC1
APOA1	APOA1
AQP5	AQP5
SCNN1D	SCNN1D
FGL1	FGL1
PCP4	PCP4
OPN1LW	OPN1LW
HPGD	HPGD
C1R	C1R
TOMM20	TOMM20
Rps28	Rps28
GNG12	GNG12
RPL23	RPL23
GJA8	GJA8
HINT1	HINT1
OR51I2	OR51I2
ATP8B1	ATP8B1
TECTA	TECTA
NANOS3	NANOS3
ITIH2	ITIH2
SAG	SAG
DUSP15	DUSP15
HPGDS	HPGDS
FAM173B	FAM173B
GPNMB	GPNMB
C17orf104	C17orf104
PLA2G12B	PLA2G12B
CRISP3	CRISP3
SNTN	SNTN
SPP1	SPP1
C8orf44	C8orf44
APOC1	APOC1
PRR22	PRR22
CARTPT	CARTPT
SERPINB11	SERPINB11
RPS20	RPS20
GPR114	GPR114
WISP2	WISP2
COX7B	COX7B
TMEM258	TMEM258
THRSP	THRSP
OPN5	OPN5
CTSV	CTSV
GRAMD2	GRAMD2
IL17REL	IL17REL
SRPX	SRPX
TDRD9	TDRD9
HTR3A	HTR3A
WNT9B	WNT9B
UQCR11	UQCR11
RPL32	RPL32
SPATC1L	SPATC1L
PDZK1IP1	PDZK1IP1
GPX4	GPX4
BOLA3	BOLA3
MIA	MIA
TMED6	TMED6
RPL15	RPL15
LHFPL1	LHFPL1
SRP9	SRP9
TFAP2D	TFAP2D
GC	GC
NOX3	NOX3
ZP3	ZP3
MYL10	MYL10
S100A6	S100A6
PERM1	PERM1
TNFAIP8L2	TNFAIP8L2
CNIH3	CNIH3
PDE6C	PDE6C
ZSWIM2	ZSWIM2
FAM229B	FAM229B
CXorf21	CXorf21
APOBEC1	APOBEC1
SSTR3	SSTR3
GAMT	GAMT
CDK15	CDK15
AQP8	AQP8
FAM71F2	FAM71F2
PSME2	PSME2
XKR4	XKR4
MGST3	MGST3
CGA	CGA
GUCA1B	GUCA1B
SDHAF1	SDHAF1
SLC15A5	SLC15A5
ANHX	ANHX
AHRR	AHRR
NGF	NGF
FKBP7	FKBP7
GPX7	GPX7
