turtle	eggnog
RPL19	RPL19
STAC2	STAC2
FBXL20	FBXL20
MED1	MED1
CDK12	CDK12
NEUROD2	NEUROD2
PPP1R1B	PPP1R1B
STARD3	STARD3
PNMT	PNMT
PGAP3	PGAP3
ERBB2	ERBB2
MIEN1	MIEN1
GRB7	GRB7
ZPBP2	ZPBP2
LRRC3C	LRRC3C
ORMDL3	ORMDL3
GSDMA	GSDMA
PSMD3	PSMD3
CSF3	CSF3
MED24	MED24
THRA	THRA
MSL1	MSL1
CASC3	CASC3
RAPGEFL1	RAPGEFL1
WIPF2	WIPF2
CDC6	CDC6
RARA	RARA
GJD3	GJD3
TOP2A	TOP2A
IGFBP4	IGFBP4
TNS4	TNS4
CCR7	CCR7
SMARCE1	SMARCE1
KRT222	KRT222
KRT23	KRT23
HAP1	HAP1
JUP	JUP
LEPREL4	LEPREL4
FKBP10	FKBP10
NT5C3B	NT5C3L
KLHL10	KLHL10
KLHL11	KLHL11
ACLY	ACLY
TTC25	TTC25
CNP	CNP
DNAJC7	DNAJC7
NKIRAS2	NKIRAS2
ZNF385C	ZNF385C
DHX58	DHX58
KAT2A	KAT2A
RAB5C	RAB5C
KCNH4	KCNH4
HCRT	HCRT
STX4	STX4
MFAP4	MFAP4
MAPK7	MAPK7
FBXL19	FBXL19
ORAI3	ORAI3
HSD3B7	HSD3B7
LPHN3	LPHN3
IGFBP7	IGFBP7
POLR2B	POLR2B
NOA1	NOA1
REST	REST
TMEM66	TMEM66
LEPROTL1	LEPROTL1
SRP72	SRP72
ARL9	ARL9
PTPLA	PTPLA
STAM	STAM
SLC39A12	SLC39A12
CACNB2	CACNB2
NSUN6	NSUN6
ARL5B	ARL5B
MALRD1	C10ORF112
PLXDC2	PLXDC2
NEBL	NEBL
SKIDA1	SKIDA1
MLLT10	MLLT10
DNAJC1	DNAJC1
COMMD3	COMMD3
BMI1	BMI1
SPAG6	SPAG6
PIP4K2A	PIP4K2A
ARMC3	ARMC3
MSRB2	MSRB2
PTF1A	PTF1A
OTUD1	OTUD1
KIAA1217	KIAA1217
ARHGAP21	ARHGAP21
PRTFDC1	PRTFDC1
ENKUR	ENKUR
THNSL1	THNSL1
GPR158	GPR158
MYO3A	MYO3A
GAD2	GAD2
PRRC2C	PRRC2C
MYOC	MYOC
VAMP4	VAMP4
APBB1IP	APBB1IP
PDSS1	PDSS1
ABI1	ABI1
ACBD5	ACBD5
MASTL	MASTL
YME1L1	YME1L1
RAB18	RAB18
MKX	MKX
ARMC4	ARMC4
MPP7	MPP7
WAC	WAC
BAMBI	BAMBI
MAP3K8	MAP3K8
MTPAP	MTPAP
KIAA1462	KIAA1462
SVIL	SVIL
ZNF438	ZNF438
ZEB1	ZEB1
ARHGAP12	ARHGAP12
KIF5B	KIF5B
EPC1	EPC1
ITGB1	ITGB1
NRP1	NRP1
PARD3	PARD3
CUL2	CUL2
CREM	CREM
CCNY	CCNY
GJD4	GJD4
FZD8	FZD8
KLF6	KLF6
PITRM1	PITRM1
ADARB2	ADARB2
WDR37	WDR37
LARP4B	LARP4B
DIP2C	DIP2C
ZMYND11	ZMYND11
VIPR2	VIPR2
ESYT2	ESYT2
NCAPG2	NCAPG2
PTPRN2	PTPRN2
MARS	MARS
DDIT3	DDIT3
DCTN2	DCTN2
KIF5A	KIF5A
PIP4K2C	PIP4K2C
ARHGEF25	ARHGEF25
SLC26A10	SLC26A10
B4GALNT1	B4GALNT1
OS9	OS9
AGAP2	AGAP2
TSPAN31	TSPAN31
CDK4	CDK4
METTL1	METTL1
METTL21B	METTL21B
TSFM	TSFM
AVIL	AVIL
CTDSP2	CTDSP2
HIGD1C	HIGD1C
SLC11A2	SLC11A2
LETMD1	LETMD1
CSRNP2	CSRNP2
TFCP2	TFCP2
POU6F1	POU6F1
DAZAP2	DAZAP2
SMAGP	SMAGP
BIN2	BIN2
CELA1	CELA1
GALNT6	GALNT6
DNAJB6	DNAJB7
UBE3C	UBE3C
MNX1	MNX1
NOM1	NOM1
LMBR1	LMBR1
RNF32	RNF32
SHH	SHH
RBM33	RBM33
CNPY1	CNPY1
EN2	EN2
INSIG1	INSIG1
HTR5A	HTR5A
PAXIP1	PAXIP1
DPP6	DPP6
ACTR3B	ACTR3B
XRCC2	XRCC2
KMT2C	MLL3
GALNT11	GALNT11
PRKAG2	PRKAG2
RHEB	RHEB
CRYGN	CRYGN
WDR86	WDR86
NUB1	NUB1
XYLB	XYLB
ACVR2B	ACVR2B
EXOG	EXOG
WDR48	WDR48
GORASP1	GORASP1
TTC21A	TTC21A
CSRNP1	CSRNP1
XIRP1	XIRP1
OXSR1	OXSR1
MYD88	MYD88
ACAA1	ACAA1
DLEC1	DLEC1
PLCD1	PLCD1
VILL	VILL
CTDSPL	CTDSPL
GARS	GARS
CRHR2	CRHR2
LRRTM3	LRRTM3
DNAJC12	DNAJC12
SIRT1	SIRT1
HERC4	HERC4
MYPN	MYPN
ATOH7	ATOH7
HNRNPH3	HNRNPH3
RUFY2	RUFY2
DNA2	DNA2
SLC25A16	SLC25A16
TET1	TET1
CCAR1	CCAR1
STOX1	STOX1
KIAA1279	KIAA1279
SRGN	SRGN
VPS26A	VPS26A
TTC32	TTC32
WDR35	WDR35
LAPTM4A	LAPTM4A
SDC1	SDC1
PUM2	PUM2
HS1BP3	HS1BP3
GDF7	GDF7
APOB	APOB
KLHL29	KLHL29
ATAD2B	ATAD2B
UBXN2A	UBXN2A
MFSD2B	MFSD2B
FKBP1B	FKBP1B
SF3B6	SF3B14
TP53I3	TP53I3
PFN4	PFN4
FAM228B	FAM228B
ITSN2	ITSN2
GCFC2	GCFC2
MRPL19	MRPL19
PTCHD4	PTCHD4
OPN5	OPN5
CD2AP	CD2AP
TNFRSF21	TNFRSF21
GPR116	GPR116
MEP1A	MEP1A
ANKRD66	ANKRD66
IMP3	IMP3
PLA2G7	PLA2G7
SLC25A27	SLC25A27
RCAN2	RCAN2
ENPP5	ENPP5
ENPP4	ENPP4
CLIC5	CLIC5
SUPT3H	SUPT3H
SCAMP1	SCAMP1
TFAP2D	TFAP2D
TFAP2B	TFAP2B
PKHD1	PKHD1
MCM3	MCM3
PAQR8	PAQR8
EFHC1	EFHC1
TRAM2	TRAM2
XKR5	XKR5
GPM6A	GPM6A
WDR17	WDR17
SPATA4	SPATA4
ASB5	ASB5
SPCS3	SPCS3
VEGFC	VEGFC
NEIL3	NEIL3
AGA	AGA
KNDC1	KNDC1
TADA1	TADA1
PRDX6	PRDX6
FAM78B	FAM78B
PPAPDC2	PPAPDC2
PRKAB2	PRKAB2
PHGDH	PHGDH
HMGCS2	HMGCS2
SEC22B	SEC22B
PIGC	PIGC
SUCO	SUCO
FASLG	FASLG
TNFSF4	TNFSF4
AGTPBP1	AGTPBP1
NAA35	NAA35
GOLM1	GOLM1
ZCCHC6	ZCCHC6
GAS1	GAS1
DAPK1	DAPK1
CTSL	CTSL2
FBP2	FBP2
FBP1	FBP1
FANCC	FANCC
PTCH1	PTCH1
ERCC6L2	ERCC6L2
HSD17B3	HSD17B3
SLC35D2	SLC35D2
ZNF367	ZNF367
HABP4	HABP4
CDC14B	CDC14B
AAED1	AAED1
HIATL1	HIATL1
SPIN1	SPIN1
NXNL2	NXNL2
S1PR3	S1PR3
SHC3	SHC3
CKS2	CKS2
SECISBP2	SECISBP2
SEMA4D	SEMA4D
GADD45G	GADD45G
DIRAS2	DIRAS2
SYK	SYK
TPPP2	TPPP2
CCSER2	FAM190B
BICC1	BICC1
PHYHIPL	PHYHIPL
FAM13C	FAM13C
SLC16A9	SLC16A9
CCDC6	CCDC6
ANK3	ANK3
ARID5B	ARID5B
RTKN2	RTKN2
ZNF365	ZNF365
ADO	ADO
NRBF2	NRBF2
JMJD1C	JMJD1C
REEP3	REEP3
NENF	NENF
TMEM206	TMEM206
PPP2R5A	PPP2R5A
DTL	DTL
INTS7	INTS7
LPGAT1	LPGAT1
NEK2	NEK2
SLC30A1	SLC30A1
RD3	RD3
TRAF5	TRAF5
RCOR3	RCOR3
KCNH1	KCNH1
HHAT	HHAT
SERTAD4	SERTAD4
SYT14	SYT14
DIEXF	DIEXF
MRPS10	MRPS10
TRERF1	TRERF1
UBR2	UBR2
PRPH2	PRPH2
TBCC	TBCC
GLTSCR1L	KIAA0240
PKDCC	PKDCC
EML4	EML4
KCNG3	KCNG3
MTA3	MTA3
FFAR4	O3FAR1
CEP55	CEP55
MYOF	MYOF
EXOC6	EXOC6
HHEX	HHEX
KIF11	KIF11
IDE	IDE
MARCH5	MARCH5
CPEB3	CPEB3
BTAF1	BTAF1
CCNJ	CCNJ
ZNF518A	ZNF518A
BLNK	BLNK
DNTT	DNTT
IL27RA	IL27RA
RLN3	RLN3
RFX1	RFX1
DCAF15	DCAF15
PODNL1	PODNL1
CC2D1A	CC2D1A
NANOS3	NANOS3
ZSWIM4	ZSWIM4
MRI1	MRI1
CCDC130	CCDC130
CACNA1A	CACNA1A
IER2	IER2
STX10	STX10
TRMT1	TRMT1
MAN2B1	MAN2B1
WDR83OS	WDR83OS
WDR83	WDR83
DHPS	DHPS
FBXW9	FBXW9
ASNA1	ASNA1
BEST2	BEST2
HOOK2	HOOK2
JUNB	JUNB
PRDX2	PRDX2
RNASEH2A	RNASEH2A
GCDH	GCDH
SYCE2	SYCE2
FARSA	FARSA
CALR	CALR
RAD23A	RAD23A
GADD45GIP1	GADD45GIP1
NFIX	NFIX
ACP5	ACP5
ELOF1	ELOF1
CNN1	CNN1
ECSIT	ECSIT
ZNF653	ZNF653
ELAVL3	ELAVL3
DYRK1B	DYRK1B
PRKCSH	PRKCSH
CCDC151	CCDC151
NEDD4L	NEDD4L
ALPK2	ALPK2
MALT1	MALT1
ZNF532	ZNF532
SEC11C	SEC11C
GRP	GRP
RAX	RAX
CPLX4	CPLX4
LMAN1	LMAN1
PMAIP1	PMAIP1
PDZD2	PDZD2
GOLPH3	GOLPH3
MTMR12	MTMR12
ZFR	ZFR
SUB1	SUB1
NUDT12	NUDT12
PPIP5K2	PPIP5K2
GIN1	GIN1
PAM	PAM
SLCO4C1	SLCO4C1
ST8SIA4	ST8SIA4
FAM174A	FAM174A
HDAC4	HDAC4
TWIST2	TWIST2
VWDE	VWDE
TMEM106B	TMEM106B
THSD7A	THSD7A
PHF14	PHF14
NDUFA4	NDUFA4
NXPH1	NXPH1
ICA1	ICA1
GLCCI1	GLCCI1
RPA3	RPA3
MIOS	MIOS
COL28A1	COL28A1
C1GALT1	C1GALT1
ASNS	ASNS
TAC1	TAC1
ACN9	ACN9
DLX5	DLX5
DLX6	DLX6
SHFM1	SHFM1
SLC25A13	SLC25A13
DYNC1I1	DYNC1I1
PDK4	PDK4
PON2	PON1
ASB4	ASB4
PPP1R9A	PPP1R9A
SGCE	SGCE
CASD1	CASD1
COL1A2	COL1A2
BET1	BET1
CALCR	CALCR
CCDC132	CCDC132
HEPACAM2	HEPACAM2
SAMD9L	SAMD9L
CDK6	CDK6
EFCAB1	EFCAB1
RBM48	RBM48
PEX1	PEX1
GALNT9	GALNT9
NOC4L	NOC4L
EP400	EP400
PUS1	PUS1
ULK1	ULK1
MMP17	MMP17
SFSWAP	SFSWAP
GPR133	GPR133
RAN	RAN
STX2	STX2
RIMBP2	RIMBP2
PIWIL1	PIWIL1
FZD10	FZD10
GLT1D1	GLT1D1
SLC15A4	SLC15A4
TMEM132C	TMEM132C
TMEM132B	TMEM132B
AACS	AACS
BRI3BP	BRI3BP
DHX37	DHX37
SCARB1	SCARB1
NCOR2	NCOR2
CCDC92	CCDC92
DNAH10	DNAH10
ATP6V0A2	ATP6V0A2
TCTN2	TCTN2
GTF2H3	GTF2H3
EIF2B1	EIF2B1
DDX55	DDX55
TMED2	TMED2
RILPL1	RILPL1
SNRNP35	SNRNP35
RILPL2	RILPL2
SETD8	SETD8
CDK2AP1	CDK2AP1
MPHOSPH9	MPHOSPH9
PITPNM2	PITPNM2
OGFOD2	OGFOD2
ABCB9	ABCB9
HIP1R	HIP1R
CCDC62	CCDC62
DENR	DENR
GPN3	GPN3
ARPC3	ARPC3
ANAPC7	ANAPC7
ATP2A2	ATP2A2
IFT81	IFT81
P2RX7	P2RX7
P2RX4	P2RX4
CAMKK2	CAMKK2
ANAPC5	ANAPC5
RNF34	RNF34
KDM2B	KDM2B
ORAI1	ORAI1
MORN3	MORN3
TMEM120B	TMEM120B
RHOF	RHOF
SETD1B	SETD1B
HPD	HPD
PSMD9	PSMD9
WDR66	WDR66
BCL7A	BCL7A
MLXIP	MLXIP
LRRC43	LRRC43
B3GNT4	B3GNT4
DIABLO	DIABLO
VPS33A	VPS33A
CLIP1	CLIP1
ZCCHC8	ZCCHC8
KNTC1	KNTC1
VPS29	VPS29
RAD9B	RAD9B
PPTC7	PPTC7
TCTN1	TCTN1
HVCN1	HVCN1
PPP1CC	PPP1CC
CCDC63	CCDC63
MYL2	MYL2
CUX2	CUX2
SH2B3	SH2B3
ATXN2	ATXN2
BRAP	BRAP
ACAD10	ACAD10
ALDH2	ALDH2
MAPKAPK5	MAPKAPK5
TMEM116	TMEM116
ERP29	ERP29
NAA25	NAA25
TRAFD1	TRAFD1
HECTD4	HECTD4
RPL6	RPL6
PTPN11	PTPN11
RPH3A	RPH3A
WSCD2	WSCD2
CMKLR1	CMKLR1
FICD	FICD
SART3	SART3
ISCU	ISCU
TMEM119	TMEM119
CORO1C	CORO1C
SSH1	SSH1
DAO	DAO
SVOP	SVOP
USP30	USP30
ALKBH2	ALKBH2
UNG	UNG
ACACB	ACACB
FOXN4	FOXN4
MYO1H	MYO1H
KCTD10	KCTD10
UBE3B	UBE3B
MMAB	MMAB
MVK	MVK
FAM222A	FAM222A
TRPV4	TRPV4
GLTP	GLTP
TCHP	TCHP
GIT2	GIT2
ANKRD13A	ANKRD13A
SGSM1	SGSM1
TMEM211	TMEM211
CRYBB3	CRYBB3
CRYBB2	CRYBB2
ADRBK2	ADRBK2
MYO18B	MYO18B
SEZ6L	SEZ6L
HPS4	HPS4
SRRD	SRRD
TFIP11	TFIP11
TPST2	TPST2
CRYBB1	CRYBB1
CRYBA4	CRYBA4
MN1	MN1
PITPNB	PITPNB
DCDC2C	DCDC2C
ALLC	ALLC
RPS7	RPS7
RNASEH1	RNASEH1
ADI1	ADI1
TRAPPC12	TRAPPC12
TSSC1	TSSC1
MYT1L	MYT1L
PXDN	PXDN
TPO	TPO
SNTG2	SNTG2
TMEM18	TMEM18
FAM150B	FAM150B
ACP1	ACP1
SH3YL1	SH3YL1
FAM110C	FAM110C
FBXO25	FBXO25
TDRP	C8ORF42
ERICH1	ERICH1
DLGAP2	DLGAP2
ARHGEF10	ARHGEF10
KBTBD11	KBTBD11
MYOM2	MYOM2
CSMD1	CSMD1
ANGPT2	ANGPT2
AGPAT5	AGPAT5
ICK	ICK
FBXO9	FBXO9
GCM1	GCM1
ELOVL5	ELOVL5
GCLC	GCLC
KLHL31	KLHL31
LRRC1	LRRC1
MLIP	MLIP
FAM83B	FAM83B
HCRTR2	HCRTR2
GFRAL	GFRAL
HMGCLL1	HMGCLL1
BMP5	BMP5
BEND6	BEND6
ZNF451	ZNF451
BAG2	BAG2
RAB23	RAB23
PRIM2	PRIM2
KHDRBS2	KHDRBS2
LGSN	LGSN
PTP4A1	PTP4A1
PHF3	PHF3
ASPRV1	ASPRV1
PSMA1	PSMA1
COPB1	COPB1
RRAS2	RRAS2
TUB	TUB
LMO1	LMO1
STK33	STK33
TRIM66	TRIM66
ST5	ST5
AKIP1	AKIP1
ASCL3	ASCL3
TMEM9B	TMEM9B
NRIP3	NRIP3
SCUBE2	SCUBE2
DENND5A	DENND5A
TMEM41B	TMEM41B
IPO7	IPO7
ZNF143	ZNF143
WEE1	WEE1
SWAP70	SWAP70
SBF2	SBF2
ADM	ADM
AMPD3	AMPD3
RNF141	RNF141
LYVE1	LYVE1
MRVI1	MRVI1
DHRS7C	DHRS7C
GLP2R	GLP2R
GAS7	GAS7
ADPRM	ADPRM
TMEM220	TMEM220
MAP2K4	MAP2K4
MYOCD	MYOCD
ELAC2	ELAC2
DNAH9	DNAH9
SHISA6	SHISA6
PIRT	PIRT
RNF222	RNF222
NDEL1	NDEL1
MYH10	MYH10
CCDC42	CCDC42
MFSD6L	MFSD6L
PIK3R6	PIK3R6
PIK3R5	PIK3R5
NTN1	NTN1
STX8	STX8
WDR16	WDR16
ARHGAP44	ARHGAP44
CDRT1	FBXW10
TEKT3	TEKT3
PMP22	PMP22
HS3ST3A1	HS3ST3A1
TRIM16	TRIM16
METRNL	METRNL
B3GNTL1	B3GNTL1
TBCD	TBCD
ZNF750	ZNF750
FN3K	FN3K
FN3KRP	FN3KRP
WDR45B	WDR45L
FOXK2	FOXK2
NARF	NARF
CD7	CD7
SEPT9	SEPT9
TNRC6C	TNRC6C
SEC14L1	SEC14L1
MGAT5B	MGAT5B
MFSD11	MFSD11
JMJD6	JMJD6
ST6GALNAC1	ST6GALNAC1
ST6GALNAC2	ST6GALNAC2
CYGB	CYGB
RHBDF2	RHBDF2
AANAT	AANAT
UBE2O	UBE2O
SPHK1	SPHK1
PRPSAP1	PRPSAP1
QRICH2	QRICH2
UBALD2	FAM100B
RNF157	RNF157
FOXJ1	FOXJ1
EXOC7	EXOC7
GALR2	GALR2
SRP68	SRP68
EVPL	EVPL
CDK3	CDK3
TEN1	TEN1
ACOX1	ACOX1
FBF1	FBF1
MRPL38	MRPL38
TRIM47	TRIM47
WBP2	WBP2
UNC13D	UNC13D
UNK	UNK
GALK1	GALK1
ITGB4	ITGB4
SAP30BP	SAP30BP
RECQL5	RECQL5
SMIM5	SMIM5
LLGL2	LLGL2
TSEN54	TSEN54
CASKIN2	CASKIN2
KIAA0195	KIAA0195
GRB2	GRB2
SLC25A19	SLC25A19
MIF4GD	MIF4GD
MRPS7	MRPS7
GGA3	GGA3
NUP85	NUP85
SUMO2	SUMO2
HN1	HN1
NT5C	NT5C
ARMC7	ARMC7
SLC16A5	SLC16A5
KCTD2	KCTD2
ATP5H	ATP5H
ICT1	ICT1
CDR2L	CDR2L
HID1	HID1
OTOP3	OTOP3
OTOP2	OTOP2
USH1G	USH1G
FADS6	FADS6
FDXR	FDXR
GRIN2C	GRIN2C
TMEM104	TMEM104
NAT9	NAT9
SLC9A3R1	SLC9A3R1
RAB37	RAB37
XYLT2	XYLT2
MRPL27	MRPL27
EME1	EME1
ACSF2	ACSF2
CHAD	CHAD
RSAD1	RSAD1
MYCBPAP	MYCBPAP
EPN3	EPN3
CACNA1G	CACNA1G
ABCC3	ABCC3
ANKRD40	ANKRD40
LUC7L3	LUC7L3
TOB1	TOB1
SPAG9	SPAG9
NME1	NME1
MBTD1	MBTD1
UTP18	UTP18
CA10	CA10
AGPAT4	AGPAT4
MAP3K4	MAP3K4
PLG	PLG
SLC22A3	SLC22A3
SLC22A2	SLC22A2
IGF2R	IGF2R
MAS1	MAS1
PNLDC1	PNLDC1
MRPL18	MRPL18
TCP1	TCP1
ACAT2	ACAT2
RSL24D1	RSL24D1
RAB27A	RAB27A
PIGB	PIGB
CCPG1	CCPG1
DYX1C1	DYX1C1
PYGO1	PYGO1
PRTG	PRTG
NEDD4	NEDD4
RFX7	RFX7
TEX9	TEX9
MNS1	MNS1
ZNF280D	ZNF280D
TCF12	TCF12
CGNL1	CGNL1
ALDH1A2	ALDH1A2
AQP9	AQP9
FAM63B	FAM63B
SLTM	SLTM
RNF111	RNF111
CCNB2	CCNB2
MYO1E	MYO1E
FAM81A	FAM81A
CHRFAM7A	CHRNA7
THSD4	THSD4
LRRC49	LRRC49
LARP6	LARP6
ADAL	ADAL
TM2D3	TM2D3
TARSL2	TARSL2
TJP1	TJP1
FAM189A1	FAM189A1
APBA2	APBA2
MCEE	MCEE
MPHOSPH10	MPHOSPH10
FAN1	FAN1
MTMR10	MTMR10
TRPM1	TRPM1
KLF13	KLF13
OTUD7A	OTUD7A
GCNT3	GCNT3
GTF2A2	GTF2A2
BNIP2	BNIP2
FOXB1	FOXB1
ANXA2	ANXA2
NARG2	NARG2
RORA	RORA
VPS13C	VPS13C
TLN2	TLN2
LACTB	LACTB
RAB8B	RAB8B
APH1B	APH1B
CA12	CA12
USP3	USP3
FBXL22	FBXL22
HERC1	HERC1
NALCN	NALCN
TMTC4	TMTC4
GGACT	GGACT
PCCA	PCCA
ZIC2	ZIC2
ZIC5	ZIC5
CLYBL	CLYBL
TM9SF2	TM9SF2
UBAC2	UBAC2
DOCK9	DOCK9
SLC15A1	SLC15A1
OPCML	OPCML
NTM	NTM
SNX19	SNX19
ADAMTS15	ADAMTS15
ADAMTS8	ADAMTS8
ZBTB44	ZBTB44
ST14	ST14
NFRKB	NFRKB
PRDM10	PRDM10
APLP2	APLP2
BARX2	BARX2
ARHGAP32	ARHGAP32
KCNJ5	KCNJ5
KCNJ1	KCNJ1
FLI1	FLI1
CHFR	CHFR
TMEM231	TMEM231
GABARAPL2	GABARAPL2
ADAT1	ADAT1
KARS	KARS
TERF2IP	TERF2IP
CHST4	CHST4
TAT	TAT
MARVELD3	MARVELD3
PHLPP2	PHLPP2
AP1G1	AP1G1
ATXN1L	ATXN1L
ZNF821	ZNF821
IST1	IST1
PKD1L3	PKD1L3
DHODH	DHODH
DHX38	DHX38
PMFBP1	PMFBP1
ZFHX3	ZFHX3
PSMD7	PSMD7
WWP2	WWP2
NOB1	NOB1
NQO1	NQO1
NFAT5	NFAT5
TERF2	TERF2
TMED6	TMED6
NIP7	NIP7
COG8	COG8
PDF	PDF
VPS4A	VPS4A
SNTB2	SNTB2
CIRH1A	CIRH1A
CHTF8	CHTF8
HAS3	HAS3
TANGO6	TMCO7
CDH1	CDH1
SEMA3B	SEMA3B
IFRD2	IFRD2
LSMEM2	C3ORF45
HYAL3	HYAL3
NAT6	NAT6
HYAL1	HYAL1
HYAL2	HYAL2
TUSC2	TUSC2
RASSF1	RASSF1
ZMYND10	ZMYND10
NPRL2	NPRL2
TMEM115	TMEM115
CACNA2D2	CACNA2D2
DENND5B	DENND5B
FAM60A	FAM60A
CAPRIN2	CAPRIN2
IPO8	IPO8
TMTC1	TMTC1
DDX11	DDX11
WASH1	WASH1
IQSEC3	IQSEC3
SLC6A12	SLC6A12
SLC6A13	SLC6A13
KDM5A	KDM5A
CCDC77	CCDC77
B4GALNT3	B4GALNT3
NINJ2	NINJ2
WNK1	WNK1
RAD52	RAD52
ERC1	ERC1
WNT5B	WNT5B
FBXL14	FBXL14
ADIPOR2	ADIPOR2
CACNA2D4	CACNA2D4
LRTM2	LRTM2
DCP1B	DCP1B
CACNA1C	CACNA1C
IL17RA	IL17RA
CECR6	CECR6
CECR5	CECR5
CECR1	CECR1
CECR2	CECR2
SLC25A18	SLC25A18
ATP6V1E1	ATP6V1E2
BCL2L13	BCL2L13
BID	BID
MICAL3	MICAL3
PEX26	PEX26
TUBA8	TUBA8
USP18	USP18
BPGM	BPGM
CALD1	CALD1
RERG	RERG
PTPRO	PTPRO
EPS8	EPS8
STRAP	STRAP
DERA	DERA
SLC15A5	SLC15A5
MGST1	MGST1
LMO3	LMO3
KCNT2	KCNT2
F13B	F13B
ASPM	ASPM
ZBTB41	ZBTB41
CRB1	CRB1
DENND1B	DENND1B
LHX9	LHX9
NEK7	NEK7
ATP6V1G3	ATP6V1G3
PTPRC	PTPRC
NR5A2	NR5A2
ZNF281	ZNF281
KIF14	KIF14
DDX59	DDX59
CAMSAP2	CAMSAP2
WDR47	WDR47
CLCC1	CLCC1
GPSM2	GPSM2
AKNAD1	AKNAD1
STXBP3	STXBP3
FNDC7	FNDC7
PRPF38B	PRPF38B
HENMT1	HENMT1
FAM102B	FAM102B
SLC25A24	SLC25A24
CENPBD1	CENPBD1
VAV3	VAV3
NTNG1	NTNG1
RNPC3	RNPC3
COL11A1	COL11A1
CNTN3	CNTN3
CHL1	CHL1
POU1F1	POU1F1
CHMP2B	CHMP2B
VGLL3	VGLL3
CADM2	CADM2
GBE1	GBE1
ROBO1	ROBO1
ROBO2	ROBO2
LIPI	LIPI
HSPA13	HSPA13
SAMSN1	SAMSN1
NRIP1	NRIP1
USP25	USP25
CXADR	CXADR
CHODL	CHODL
TMPRSS15	TMPRSS15
ANKH	ANKH
OTULIN	FAM105B
FAM105A	FAM105A
TRIO	TRIO
DNAH5	DNAH5
CTNND2	CTNND2
DAP	DAP
ANKRD33B	ANKRD33B
PTPRM	PTPRM
RAB12	RAB12
MTCL1	SOGA2
NDUFV2	NDUFV2
ANKRD12	ANKRD12
TWSG1	TWSG1
RALBP1	RALBP1
PPP4R1	PPP4R1
RAB31	RAB31
VAPA	VAPA
APCDD1	APCDD1
NAPG	NAPG
PIEZO2	PIEZO2
GNAL	GNAL
MPPE1	MPPE1
IMPA2	IMPA2
CIDEA	CIDEA
AFG3L2	AFG3L2
SLMO1	SLMO1
SPIRE1	SPIRE1
CEP76	CEP76
PSMG2	PSMG2
PTPN2	PTPN2
FAM210A	FAM210A
RNMT	RNMT
MC5R	MC5R
MC2R	MC2R
CDH7	CDH7
CDH19	CDH19
DSEL	DSEL
TMX3	TMX3
CCDC102B	CCDC102B
DOK6	DOK6
CD226	CD226
RTTN	RTTN
SOCS6	SOCS6
CBLN2	CBLN2
NETO1	NETO1
FBXO15	FBXO15
TIMM21	TIMM21
FAM69C	FAM69C
CNDP2	CNDP2
ZNF407	ZNF407
ZADH2	ZADH2
TSHZ1	TSHZ1
ZNF516	ZNF516
ZNF236	ZNF236
MBP	MBP
GALR1	GALR1
SALL3	SALL3
ATP9B	ATP9B
NFATC1	NFATC1
CTDP1	CTDP1
KCNG2	KCNG2
PQLC1	PQLC1
TXNL4A	TXNL4A
RBFA	RBFA
ADNP2	ADNP2
BLOC1S4	BLOC1S4
PARD6G	PARD6G
SCGN	SCGN
LRRC16A	LRRC16A
FAM65B	FAM65B
GMNN	GMNN
ACOT13	ACOT13
TDP2	TDP2
KIAA0319	KIAA0319
ALDH5A1	ALDH5A1
GPLD1	GPLD1
MRS2	MRS2
NRSN1	NRSN1
PRL	PRL
SOX4	SOX4
CDKAL1	CDKAL1
E2F3	E2F3
MBOAT1	MBOAT1
HPS5	HPS5
GTF2H1	GTF2H1
TSG101	TSG101
UEVLD	UEVLD
SPTY2D1	SPTY2D1
TMEM86A	TMEM86A
IGSF22	IGSF22
PTPN5	PTPN5
PTPRJ	PTPRJ
OSBPL5	OSBPL5
CARS	CARS
TSPAN32	TSPAN32
ASCL2	ASCL2
TH	TH
IGF2	IGF2
MRPL23	MRPL23
TNNT3	TNNT3
LSP1	LSP1
TNNI2	TNNI2
SYT8	SYT8
CTSD	CTSD
IFITM10	IFITM10
DUSP8	DUSP8
MOB2	MOB2
BRSK2	BRSK2
TOLLIP	TOLLIP
AP2A2	AP2A2
COLCA2	C11ORF93
HINFP	HINFP
ABCG4	ABCG4
NLRX1	NLRX1
PDZD3	PDZD3
CCDC153	CCDC153
MCAM	MCAM
RNF26	RNF26
MFRP	MFRP
USP2	USP2
THY1	THY1
PVRL1	PVRL1
TRIM29	TRIM29
OAF	OAF
POU2F3	POU2F3
ARHGEF12	ARHGEF12
GRIK4	GRIK4
TBCEL	TBCEL
TECTA	TECTA
SC5D	SC5DL
SORL1	SORL1
UBASH3B	UBASH3B
CRTAM	CRTAM
BSX	BSX
HSPA8	HSPA8
CLMP	CLMP
GRAMD1B	GRAMD1B
SCN3B	SCN3B
ATP12A	ATP12A
B3GAT1	B3GAT1
GLB1L2	GLB1L2
ACAD8	ACAD8
THYN1	THYN1
NCAPD3	NCAPD3
JAM3	JAM3
IGSF9B	IGSF9B
NAV3	NAV3
PMS2	PMS2
E2F7	E2F7
CSRP2	CSRP2
ZDHHC17	ZDHHC17
OSBPL8	OSBPL8
BBS10	BBS10
NAP1L1	NAP1L1
PHLDA1	PHLDA1
